event_date,state,locality,event_type,actor,summary,severity,site,community_group,outcome,fact_status
2026-09-03,NSW,Lane Cove,media_campaign,Lane Cove residents,"Residents report constant low-frequency hum from an operating data centre 350 m from homes, with descriptions ranging from 'a jet plane about to take off' to a high-pitched whine; four further data centres are in the pipeline at the local industrial park, and residents fear impacts on the national park and river.",4,,,,REPORTED
2026-09-03,NSW,Marsden Park,media_campaign,Marsden Park residents,The largest data centre in the Southern Hemisphere is under construction approximately 100 m from a local community.,4,Marsden Park Data Centre,,,REPORTED
2026-08-16,NSW,Western Sydney,protest,Stop the Slop / community organisers and students,"Protest the day before the NSW Guidelines launched, calling for a moratorium on new AI data centre builds until communities are consulted. Organisers asked where the water and power will come from, how waste will be managed, what back-up systems will be used during outages, and what will happen to local power and water prices. Spokesperson Sophie Shanaaz: 'We're really focused on getting all these AI data centres out of our suburbs ... eating our resources.' Community organiser Gokulan Gopal said there is 'not enough regulation at the moment'.",3,,Stop the Slop,,REPORTED
2026-08-01,VIC,South Morang,media_campaign,Local residents / The Westsider,Community backlash reported against a newly approved ~A$1bn data centre.,3,"South Morang data centre (approved, ~A$1bn)",,,CLAIMED
2026-08,VIC,West Footscray,objection_submission,Maribyrnong City Council and residents,"The NEXTDC M3 EXPANSION, lodged through the Development Facilitation Program, has received 5 objections - one of them from Maribyrnong City Council, which no longer decides the application. It is under review by the Minister for Planning with no VCAT appeal available to any party.",4,NEXTDC M1 / M2 / M3 Melbourne,,,REPORTED
2026-07-27,VIC,Melton,protest,Melton residents,"Residents rallied against Syncline Energy's proposed data centre hub; a council meeting on 27 July 2026 was used to organise opposition. Concerns include siting on Green Wedge land, water for cooling, grid strain, and diesel and gas back-up generation producing 24/7 low-frequency noise and glare.",3,Syncline Energy Melton data centre hub (proposed),,,REPORTED
2026-07,VIC,Plumpton,petition,Plumpton and Melton residents,"More than 3,600 people signed a petition calling for careful assessment of the proposed Victorian AI hub at Plumpton. The Guardian describes the site as a microcosm of growing community resentment to data centres and a flashpoint for the national debate.",4,Victorian AI Hub (Plumpton),,,REPORTED
2026-05-31,VIC,Melton,petition,Change.org petitioners,"Petition 'Stop data centre construction in Melton' argues that a data centre in a residential area will degrade quality of life, harm the local environment and permanently alter the character of the area.",2,Syncline Energy Melton data centre hub (proposed),,,REPORTED
2026-05-29,NSW,NSW,political_intervention,"Ms Emma Bacon, Executive Director, Sweltering Cities","Urban heat advocacy evidence on 29 May 2026, relevant to the cumulative microclimate impact Blacktown City Council raised in its objection to the 235 MW Glendenning Road consent and to the Greater Sydney Heat Smart City Plan 2025-2030.",3,,,,VERIFIED
2026-05-22,NSW,Lane Cove,political_intervention,"Mr Peter Ephraums, Lane Cove Responsible Planning Group","A community planning group gave evidence directly to the inquiry alongside Sydney Water, Transgrid, the Premier's Department and Infrastructure NSW.",3,,Lane Cove data centre residents (unformalised),,VERIFIED
