id,pillar,question,why_it_matters,target_source,retrieval_method,priority,status,owner,opened,resolved_date,notes,fact_status,source_id,confidence,as_of_date
1,A,"Compute the straight-line distance from every mapped site to its nearest submarine cable landing station, and record the cable system and landing point name.",Pillar A requires proximity to cable landing stations. No verified distances exist in this release; the field is deliberately empty rather than estimated.,TeleGeography Submarine Cable Map (landing station coordinates) + geocoded site addresses,dataset_download,4,open,,2026-09-18,,,VERIFIED,,,
2,A,"Ingest every State Significant Development and State Significant Infrastructure data centre application from the NSW Planning Portal: reference, lodged date, proponent SPV, capacity, EIS metrics, submissions, EPA advice, determination and conditions.","The NSW portal is the authoritative record for the 19-project, $50.3bn pipeline and for site-level PUE, WUE, generator and water figures. Currently only 6 NSW applications are in the database.",https://www.planningportal.nsw.gov.au/major-projects (searchable list; per-project attachment API),scrape_portal,5,resolved,,2026-09-18,2026-09-18,"RESOLVED 2026-09-18 for the SSD layer. Built scrapers/ingest_nsw_dc.py and harvested all 46 data centre State Significant Development records on the NSW Planning Portal: case ids, stages, decisions, determination dates and authorities, development types, industry classifications and LGAs, plus the development description and attachment counts. Node JSON archived with SHA-256 manifests. Concentration: Blacktown 11, City of Ryde 9, Lane Cove 5, Penrith 4. 24 approved, 3 withdrawn. RESIDUAL, re-scoped as RG-034: the register covers State Significant Development only. It does not include local council development applications (which is where the Melton, South Morang and Moss Vale matters sit), Part 5A infrastructure, modification content, or the attachment bodies themselves - the signed consents must be fetched one at a time as was done for SSD-73761707.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
3,A,Ingest the Victorian planning register (Planning Online / Victoria's data centre fast-track list) and the Queensland development application registers for data centre projects.,Victoria's $25-51.9bn pipeline and Queensland's 2.16 GW Western Downs project are only lightly represented. Victoria's three-month fast track needs primary documentation.,VicPlanning / DTP; Western Downs Regional Council planning scheme records,scrape_portal,4,in_progress,,2026-09-18,,"Advanced 2026-09-18. The Victorian PATHWAY is now properly documented - the Development Facilitation Program under Part 9A of the Planning and Environment Act 1987, its $10m regional and $20m metropolitan thresholds, ministerial determination, council bypass, VCAT appeal exclusion and absence of conditions review - together with the 'Utility Installation' classification at cl.73.03 of the Victorian Planning Provisions and the Environment Protection Act 2017 / Regulations 2021 position. Queensland's Western Downs Digital Park is now sourced to its lodged application and its proponent's ownership chain. RESIDUAL: neither state has an equivalent of the NSW Planning Portal's searchable major-projects register, so a site-by-site census for VIC and QLD still requires council-by-council searching. See RG-047 and RG-048 for the Victorian work.",REPORTED,SRC_GADENS_VIC,high,2026-09-18
4,B,"Trace domestic superannuation exposure to Australian data centres: AustralianSuper, Aware Super, UniSuper, Cbus, Hostplus, Australian Retirement Trust - direct holdings, platform stakes, debt facilities and listed vehicle positions.","Pillar B's core question. IFM Investors (industry super capital) owns the Mamre Road land and the Future Fund and CSC hold 46.59% of CDC, but the broader super exposure is unmapped.",Annual and quarterly reports; ASIC company registers; fund investment disclosures; AFR/Investor intelligence,manual_review,5,open,,2026-09-18,,,VERIFIED,,,
5,B,"Reconcile the ownership of 706-752 Mamre Road: ISPT lists the property as 'Summit' while Information Age reports the site is owned by IFM Investors. Establish the registered proprietor, the fund vehicle, the sale price and the conditions precedent.",Two credible sources conflict. Land ownership by superannuation capital is a headline Pillar B finding and cannot rest on an unresolved discrepancy.,NSW Land Registry Services title search; ASIC; ISPT and IFM disclosures,manual_review,5,open,,2026-09-18,,,VERIFIED,,,
6,B,"Obtain FIRB records for every data centre-related foreign investment since 2020: application, national security business notification, decision, and any conditions.",The Blackstone/CPP acquisition of AirTrunk was FIRB-reviewed but conditions are not published. Without them the Observatory cannot assess what control foreign entities actually have.,Foreign Investment Approvals annual reports; Treasurer's decisions; FOI to Treasury,foi_request,5,open,,2026-09-18,,,VERIFIED,,,
7,B,"Establish whether any Australian state has granted payroll tax exemptions, land tax concessions, stamp duty relief or concessional leasehold land to a data centre proponent, and on what conditions.",This is the central factual dispute in the project brief. The industry body asserts no special concessions exist; no primary evidence has been located either way. The answer determines whether Pillar B's subsidy thesis holds in Australia at all.,"FOI to NSW Revenue, Revenue NSW, SRO Victoria, QRO; state budget papers; NSW Ombudsman; Land and Property leases in the Western Sydney Employment Area and Aerotropolis",foi_request,5,in_progress,,2026-09-18,,"STRATEGY DRAFTED 2026-09-18, not yet lodged - see reports/RG007_foi_strategy.md. Five request templates are written for Revenue NSW, NSW DPHI/Investment NSW, SRO Victoria, Queensland Revenue Office and Commonwealth Treasury/FIRB. All are framed to seek policy instruments, determinations, guidelines and aggregate counts rather than individual taxpayer assessments, because a request naming a taxpayer will be refused on confidentiality grounds and would waste the attempt. NSW fee $30 per request under the GIPA Act with processing at $30/hour. Four free parallel routes are identified that should be worked FIRST: (1) the published NSW Voluntary Planning Agreements register; (2) state budget papers and Treasurer's determinations searched for 'data centre' 2019-20 to 2026-27; (3) submissions to the NSW Data Centre Consultation Paper (March 2026), where industry and unions lobby for or against concessions and so disclose whether they exist; (4) the NSW Legislative Council data centres inquiry submissions and the 29 May 2026 hearing transcripts, where a direct question to a revenue officer in public is the fastest possible answer. Route 4 may resolve this before any FOI is decided. A documented negative is recorded as incentive_type 'none_found' with fact_status VERIFIED and is treated as a publishable finding that settles Pillar B in the sector's favour.",VERIFIED,SRC_GIPA_IPC,high,2026-09-18
8,C,"Extract environment protection licence conditions for every operating data centre: permitted generator run hours, NOx limits, monitoring, noise limits and any exemptions from industrial air quality baselines.",Pillar C asks whether operators are granted exemptions. The NSW Guidelines confirm a 200-hour/yr unregulated window exists; site-level licence conditions have not been retrieved.,NSW EPA public register of licences; EPA Victoria licence register; SA EPA,scrape_portal,5,open,,2026-09-18,,,VERIFIED,,,
9,C,"Download Clean Energy Regulator NGERS emissions data per data centre operator and facility for 2019-2025, and LGC/STC creation and surrender records per liable entity.",This is the verification engine for every '100% renewable' claim in the database. The AFR has already shown top-three operator emissions doubled in five years.,"https://www.cleanenergyregulator.gov.au (NGERS and RET datasets, CSV)",dataset_download,5,resolved,,2026-09-18,2026-09-18,"Resolved 2026-09-18. Downloaded and parsed NGER corporate data 2019-20 to 2024-25 (398-415 corporations per year), market-based scope 2 tables 2023-24 and 2024-25, the LGC certificate shortfall register (143 entries 2001-2025), the 2024-25 Safeguard baselines and emissions table (228 facilities) and the REC Registry LGC holdings snapshot (1,306 accounts). See reports/cer_analysis.md and exports/cer/dc_operators_nger_trend.csv. Residual: facility-level (as opposed to corporate-level) NGER data is not published in this dataset, so emissions cannot yet be attributed to individual sites; and Microsoft, Google and Meta do not appear at all, which is a threshold-or-naming result requiring RG-013.",VERIFIED,SRC_CER_NGERS,high,2026-09-18
10,C,"Identify the proponent, site and status of the reported ~1 GW Western Australia data centre, and map all 15 SWIS operational sites.",WA sits outside the NEM; the brief's NEM-only framing would omit a gigawatt-scale facility.,WA Government announcements; Western Power connection data; AEMO WEM ESOO,manual_review,3,open,,2026-09-18,,"Unchanged in substance, but note the interaction with the NSW register harvest: the reported ~1 GW WA facility could not be located in any NSW record because WA is a different jurisdiction operating the Wholesale Electricity Market. AEMO records 15 operational data centre sites across the South West Interconnected System. The WA route is the WA Planning Commission's development application register and Western Power connection data, not the NSW portal.",REPORTED,SRC_NSWPORTAL_REGISTER,medium,2026-09-18
