id,event_date,site_id,group_id,locality,state,event_type,actor,summary,severity,outcome,notes,fact_status,source_id,confidence,as_of_date
1,2026-04,SITE_MAMRE_ROAD,,Kemps Creek,NSW,council_rejection,Penrith City Council,"Penrith City Council told the NSW Government it objected to the Mamre Road proposal, arguing the site was 'not suitable for a proposed development of this scale'.",5,,,REPORTED,SRC_IA_MAMRE,high,2026-04-30
2,2026-04,SITE_MAMRE_ROAD,,Kemps Creek,NSW,school_or_institution_objection,Mamre Anglican School / Anglican Schools Corporation,"The school directly across the road raised concerns about air quality, noise during and after construction, and the location of power generation and diesel storage relative to students; it noted that community understanding of data centre impacts 'has not had time to be reliably informed', flagged significant consequences in the event of a fire, and has identified an alternative site while seeking government help to relocate.",4,,,REPORTED,SRC_IA_MAMRE,high,2026-04-30
3,2026-04,SITE_MAMRE_ROAD,,Kemps Creek,NSW,school_or_institution_objection,Catholic Church of the Diocese of Parramatta (Emmaus Retirement Village),"Formal objection: the proposal 'fails to adequately address cumulative impacts, emergency access, servicing resilience and stormwater feasibility, and places unacceptable and unresolved risk on existing community critical land uses'. Concerns raised about water and electricity supply to the retirement village operated by Catholic Healthcare.",4,,,REPORTED,SRC_IA_MAMRE,high,2026-04-30
4,2026-04,SITE_MAMRE_ROAD,,Kemps Creek,NSW,objection_submission,Catholic Schools Parramatta Diocese,"Did not object in principle but asked that impacts be minimised, that diesel back-up generator testing occur outside school hours and peak outdoor activity periods, and that noise, construction traffic and fuel and battery storage impacts be limited. Affected schools: Emmaus Catholic College and Trinity Catholic Primary.",3,,,REPORTED,SRC_IA_MAMRE,high,2026-04-30
5,2026-08-16,,GRP_STOPTHESLOP,Western Sydney,NSW,protest,Stop the Slop / community organisers and students,"Protest the day before the NSW Guidelines launched, calling for a moratorium on new AI data centre builds until communities are consulted. Organisers asked where the water and power will come from, how waste will be managed, what back-up systems will be used during outages, and what will happen to local power and water prices. Spokesperson Sophie Shanaaz: 'We're really focused on getting all these AI data centres out of our suburbs ... eating our resources.' Community organiser Gokulan Gopal said there is 'not enough regulation at the moment'.",3,,,REPORTED,SRC_ABCNSW26,high,2026-08-16
6,2026-09-03,,,Lane Cove,NSW,media_campaign,Lane Cove residents,"Residents report constant low-frequency hum from an operating data centre 350 m from homes, with descriptions ranging from 'a jet plane about to take off' to a high-pitched whine; four further data centres are in the pipeline at the local industrial park, and residents fear impacts on the national park and river.",4,,,REPORTED,SRC_BB2026,high,2026-09-03
7,2026-09-03,SITE_CDC_MARSDEN,,Marsden Park,NSW,media_campaign,Marsden Park residents,The largest data centre in the Southern Hemisphere is under construction approximately 100 m from a local community.,4,,,REPORTED,SRC_BB2026,high,2026-09-03
8,2026-07-27,SITE_MELTON_SYNCLINE,,Melton,VIC,protest,Melton residents,"Residents rallied against Syncline Energy's proposed data centre hub; a council meeting on 27 July 2026 was used to organise opposition. Concerns include siting on Green Wedge land, water for cooling, grid strain, and diesel and gas back-up generation producing 24/7 low-frequency noise and glare.",3,,,REPORTED,SRC_MELTONCC,low,2026-07-27
9,2026-05-31,SITE_MELTON_SYNCLINE,,Melton,VIC,petition,Change.org petitioners,"Petition 'Stop data centre construction in Melton' argues that a data centre in a residential area will degrade quality of life, harm the local environment and permanently alter the character of the area.",2,,,REPORTED,SRC_CHANGEORG,low,2026-05-31
10,2026-05-19,SITE_CLOUDCARRIER_SH,,Moss Vale / Southern Highlands,NSW,protest,Southern Highlands community and ACF,Protests called after the developer expanded plans for fossil gas generation to serve the campus. The Australian Conservation Foundation is investigating the proposal.,4,,,REPORTED,SRC_RENEW_MOSSVALE,medium,2026-05-19
11,2026-08-01,SITE_SOUTH_MORANG,,South Morang,VIC,media_campaign,Local residents / The Westsider,Community backlash reported against a newly approved ~A$1bn data centre.,3,,,CLAIMED,SRC_MELTONCC,low,2026-08-01
12,2026-03-27,SITE_MAMRE_ROAD,GRP_GREENPEACE,NSW,NSW,objection_submission,Greenpeace Australia Pacific,"Submission No 120 to the NSW Legislative Council inquiry urges the Government not to 'roll out the red carpet' without legislated protections, democratic oversight and community consent, and to treat AI data centres as a high-risk infrastructure category that must prove compatibility with NSW climate, energy, water and social objectives before approval is contemplated.",4,,,VERIFIED,SRC_GREENPEACE_SUB,high,2026-04-03
13,2025-06,SITE_GLENDENNING,,Glendenning,NSW,council_rejection,Blacktown City Council,"Blacktown City Council lodged a formal OBJECTION to the EIS for the Glendenning Road Data Centre (SSD-73761707, exhibited at 202.4 MW; the signed consent permits 235 MW). The project was determined on 16 September 2026 regardless.",5,,"The second formal council objection to a Western Sydney data centre in this database, after Penrith City Council's objection to the Mamre Road campus. Both were overridden or remain unresolved, because the consent authority is the state, not the council.",VERIFIED,SRC_NSWPORTAL_GLEN,high,2026-09-18
14,2026-07,SITE_PLUMPTON_HUB,,Plumpton,VIC,petition,Plumpton and Melton residents,"More than 3,600 people signed a petition calling for careful assessment of the proposed Victorian AI hub at Plumpton. The Guardian describes the site as a microcosm of growing community resentment to data centres and a flashpoint for the national debate.",4,,Residents received door-knocking letters from Syncline Energy before the project had been publicly announced; for others news spread through social media first. A Victorian Greens campaign against new data centres was circulating at the same time.,REPORTED,SRC_GUARD_PLUMPTON,high,2026-09-18
15,2025-06-12,SITE_GLENDENNING,,Glendenning,NSW,council_rejection,"Blacktown City Council (Judith Portelli, Manager Development Assessment)","Formal six-page objection to SSD-73761707. Planning: the proposal requires 823 car parking spaces under the Blacktown DCP and offers 165, and even the Transport for NSW Guide to Transport Impact Assessment (2024) yields 179; high visual impact from bulk and scale, with the building still clearly visible above the tree canopy at full planting maturity, no other buildings of this height anywhere in the vicinity, and the site directly abutting Nurragingy Reserve; underground fuel tanks proposed in the landscape setback. City Architect: no 20 m landscaped buffer to the eastern boundary free of parking, driveways, plant, equipment and tanks; building heights not reduced; facade monotone. Social planning: the site is in one of the hottest parts of Western Sydney already vulnerable to urban heat, servers must be kept below 33.3 degrees, the facility will increase the microclimate temperature and the number of hot days and heatwaves for an already vulnerable community, and the ESD report fails to articulate the temperature increase from three centres compared with conventional industrial development; with Blacktown becoming a preferred location for new data centres the impact will be intensified by colocation, so impacts of not only this site but all existing and proposed data centres should be better assessed. Employment: the operational employment figures in the Social and Economic Impact Assessment do not account for the existing employment across the THREE EXISTING WAREHOUSES on the site, and Council demands a revised analysis using existing FTE numbers and skill diversity, or business-as-usual figures if those businesses cease. Council also states that the financial gains of the owner should be balanced with improved investment back into the site and surrounding community. Engineering and drainage: an 18,000 sqm southern portion is excluded from the water quality treatment system; the site is affected by overland flow in both low and medium risk and the proposed cut and fill will disturb the existing flow path.",5,Not determinative. Consent issued 16 September 2026 by the Minister's delegate.,"This objection is the single most useful document found in RG-026 for two reasons. First, it is the jobs-to-capex critique made by a council in a statutory process BEFORE this project framed it: a 235 MW data centre replacing three warehouses may be a net reduction in local employment, and the proponent's S&EIA did not net off the displaced jobs. Second, it identifies cumulative urban heat and colocation impact as an unassessed externality in a corridor where the Department has separately directed cumulative-impact assessment at Kemps Creek.",VERIFIED,SRC_BLACKTOWN_OBJ,high,2026-09-18
16,2026-05-08,,GRP_LANECOVE,Lane Cove,NSW,political_intervention,"Ms Rochelle Flood, Deputy Mayor, Lane Cove Council",Lane Cove Council's Deputy Mayor gave evidence to the inquiry on 8 May 2026. The same LGA contains five data centre SSD records and a resident population reporting an operating facility 350 m from homes.,3,,,VERIFIED,SRC_INQ_T_0508,high,2026-09-18
17,2026-05-22,,GRP_LANECOVE,Lane Cove,NSW,political_intervention,"Mr Peter Ephraums, Lane Cove Responsible Planning Group","A community planning group gave evidence directly to the inquiry alongside Sydney Water, Transgrid, the Premier's Department and Infrastructure NSW.",3,,,VERIFIED,SRC_INQ_T_0522,high,2026-09-18
18,2026-05-22,,GRP_GREENPEACE,NSW,NSW,political_intervention,"Ms Solaye Snider and Dr Simon Bradshaw, Greenpeace Australia Pacific; Ms Jaqueline Mills, Nature Conservation Council of NSW","Both environmental organisations gave oral evidence on 22 May 2026 in addition to their written submissions, in the same session as the water utilities and networks.",3,,,VERIFIED,SRC_INQ_T_0522,high,2026-09-18
19,2026-05-29,,,NSW,NSW,political_intervention,"Ms Emma Bacon, Executive Director, Sweltering Cities","Urban heat advocacy evidence on 29 May 2026, relevant to the cumulative microclimate impact Blacktown City Council raised in its objection to the 235 MW Glendenning Road consent and to the Greater Sydney Heat Smart City Plan 2025-2030.",3,,,VERIFIED,SRC_INQ_T_0529,high,2026-09-18
20,2021,SITE_NEXTDC_M123,,West Footscray,VIC,objection_submission,West Footscray residents,"More than 80 objections to the original NEXTDC M3 permit application, on grounds of noise (the continuous hum of air conditioning systems), light pollution, health and wellbeing impacts, and loss of industrial land that might otherwise support diverse employment. Maribyrnong City Council approved the permit in 2021 despite the objections.",4,,"The objections were effective in the sense that they 'create delay, impose conditions and generate reputational risk' - Gadens' own characterisation of the risk profile.",REPORTED,SRC_GADENS_VIC,high,2026-09-18
21,2026-08,SITE_NEXTDC_M123,,West Footscray,VIC,objection_submission,Maribyrnong City Council and residents,"The NEXTDC M3 EXPANSION, lodged through the Development Facilitation Program, has received 5 objections - one of them from Maribyrnong City Council, which no longer decides the application. It is under review by the Minister for Planning with no VCAT appeal available to any party.",4,,"Objections fell by more than 90 per cent between the original application and the expansion, with no change in the underlying amenity concerns. Two readings are possible and both matter: either the DFP suppresses participation because objectors know it cannot change the outcome, or the expansion is genuinely less impactful. Nothing in the public record distinguishes them, which is itself the accountability problem.",REPORTED,SRC_GADENS_VIC,high,2026-09-18
22,2025-07-07,,,Canberra,ACT,political_intervention,Senator David Shoebridge (Greens digital rights spokesperson),Called for a freeze on Australian government contracts with Palantir over its overseas work (ICE deportation support; UN Special Rapporteur report naming Palantir re Israel) and demanded procurement guidelines preventing 'public money being handed to companies actively engaged in genocide and suppressing democracy'; asked whether 'anyone check[ed] these fundamental threats to democracy before signing up with Palantir'. His Bluesky thread cites 'multiple Defence contracts worth over $11 million'.,,No freeze; Defence's largest Palantir contract followed in February 2026 (CN4218984).,The first federal parliamentary challenge to the Palantir relationship found on the public record during this thread's research.,REPORTED,SRC_CRIKEY_AUS_LINKS_JUL25,high,2025-07-08
23,2026-02-17,,,Canberra,ACT,political_intervention,Senator David Pocock (independent),Criticised the Cyber Warfare Division's $7.6m limited-tender Palantir contract: 'deeply problematic for millions of Australian taxpayer dollars to be going to a company that is so mired in controversy with huge question marks over its ethics and handling of data ... in the absence of long overdue reforms to Australia's privacy legislation'; called the extension 'terrible procurement process' that 'should be put back out to tender rather than continuing the land and expand practice that doesn't test value for money or retained economic benefit'.,,Contract amended upward by $2.75m on 2 April 2026 (CN4218984-A1).,Recorded against the reporting date of the Crikey article carrying the quotes.,REPORTED,SRC_CRIKEY_DEF_FEB26,high,2026-02-17
24,2025-12,,,,,media_campaign,GNCA Investigates (YouTube channel),"Published 'We're All So F'd | NVIDIA x Palantir, Global Surveillance, 'Pre-Crime' Arrests, & AI' - the video whose description ('NVIDIA CEO Jensen Huang stated that NVIDIA would ""accelerate everything that Palantir"" does') is the provenance of this research thread's originating brief. Approximately 489k views / 44k likes as at 2026-09-21. A follow-up video reports Palantir's Head of Strategic Communications responding to the channel.",,"Framing circulated widely (Reddit, Lemmy, forums); Palantir responded on-channel.","Date estimated (December 2025) from contemporaneous archive posts; exact publication date not read from YouTube. Recorded as provenance, not endorsement: the pack's premise checks separate the video's characterisations ('pre-crime arrests', 'global surveillance') from what primary sources support.",REPORTED,SRC_GNCA_VIDEO,low,2026-09-21
