id,claimant_id,site_id,claim_date,claim_scope,claim_text,claim_type,target_year,instrument_relied_on,lgc_surrender_evidence,verification_status,verification_note,fact_status,source_id,confidence,as_of_date
1,ENT_AIRTRUNK,,2026,national,AirTrunk states it has signed multiple renewable energy sourcing contracts in Australia and achieved 100% renewable energy by 2025.,percentage_renewable,,unspecified (generation contracts plus energy attribute certificates),Clean Energy Regulator corporate NGER data 2019-20 to 2024-25 and market-based scope 2 tables 2023-24 and 2024-25,CONTRADICTED,"CONTRADICTED as a statement about Australian operations, on primary regulator data. AirTrunk Australia Holding Pty Ltd reported location-based scope 2 of 553,344 t CO2-e in 2024-25, up 485% from 94,528 t in 2019-20; scope 1 rose from 132 t to 4,165 t; net energy consumed rose 625% to 2,886,668 GJ. AirTrunk does not appear in the CER's market-based scope 2 table in either published year, so the 100% renewable claim has no expression in statutory data. AirTrunk holds no account in the REC Registry LGC holdings snapshot (31 July 2026). This does not prove the contractual arrangements do not exist - it proves they are not visible to, or reported through, the regulator, which is precisely the condition the proposed REGO obligation is intended to end.",VERIFIED,SRC_AIRTRUNK_PPA,high,2026-09-18
2,ENT_MICROSOFT,,2026-04-23,global,"Achievement of 100% renewable energy to match energy consumption, and water-positive operations by 2030.",percentage_renewable,,unspecified global matching,not checked,NOT_ASSESSED,"Global claim; Australian-specific matching not separately disclosed. The NSW Guidelines note PPAs to date skew to solar rather than the wind, storage and firming assets NSW needs.",CLAIMED,SRC_MS2026,medium,2026-04-23
3,ENT_AIRTRUNK,SITE_MAMRE_ROAD,2026-02,site,"The Mamre Road EIS commits the project to running solely on electricity generated from renewable sources by 2030, with a stated target of 100% renewable electricity procurement through PPAs, virtual PPAs, customer procurement of green tariffs and RECs.",percentage_renewable,,PPAs / vPPAs / green tariffs / RECs plus a small volume of carbon offsets for back-up generators,not checked,UNVERIFIED,"Greenpeace analysis of the EIS: claimed scope 2 emissions fall from 23,574,172 t to 818,316-918,316 t only once procurement strategies are counted, so the entire decarbonisation claim rests on instruments that are not yet contracted or evidenced. Would fail the NSW Guidelines' Principle 3 test (>=40% wind, storage at 25% of generation for 4 hours, 10-year terms, pre-FID additionality).",REPORTED,SRC_GREENPEACE_SUB,medium,2026-04-03
4,ENT_CLOUDCARRIER,SITE_CLOUDCARRIER_SH,2025-09,site,"Request for SEARs states the proposed natural gas generation 'is expected to produce lower greenhouse gas emissions than the current coal-dominated grid, resulting in a measurable improvement in overall emissions performance'.",other,,grid intensity comparison,,CONTRADICTED,"The generation serves new demand rather than displacing coal, so the emissions are additional. Greenpeace estimates ~2.4 Mt CO2-e/yr and notes AEMO's 2026 projections put NSW grid intensity below the level assumed. Also likely to exceed the Safeguard Mechanism facility threshold, unlike grid-powered data centres.",REPORTED,SRC_GREENPEACE_SUB,medium,2026-04-03
5,ENT_GREENPEACE,,2026-05-27,national,No data centre operator analysed in this report adequately proves their claim of driving Australia's renewable energy growth.,additional_generation,,n/a - this is a finding about other parties' claims,"Reproduced independently from CER NGER corporate data, market-based scope 2 tables, the LGC shortfall register, the REC Registry holdings snapshot and the Safeguard baselines table.",VERIFIED,"Independently reproduced from primary CER data on 2026-09-18. Of eight data centre operators in the NGER corporate publication, exactly two (NEXTDC and Fujitsu Australia) reported market-based scope 2 in 2024-25 and none did in 2023-24. NEXTDC's market-based figure is only 3.6% below its location-based figure. No operator appears as an LGC-liable entity in the shortfall register (143 entries, 2001-2025). No data centre is a Safeguard Mechanism covered facility (0 of 228). NEXTDC holds 500 LGCs in the REC Registry snapshot; Amazon Energy LLC 226,073; CDC Data Centres Pty Ltd 233,209; AirTrunk, Equinix and Global Switch hold none.",VERIFIED,SRC_GP2026,high,2026-09-18
6,ENT_DATA_CENTRES_AU,,2026-05-01,national,"Data centre operators pay their way. The national electricity rules require all large load users, including data centres, to pay 100 per cent of connection costs and augmentations to the network. Data centre operators will pay $10.3 billion in energy infrastructure to 2030, and $1.1 billion of that is excess capacity available for public use. Data centre operators do not receive subsidies or tax incentives.",other,,National Electricity Rules connection and augmentation cost allocation,n/a,PARTIALLY_VERIFIED,"The 'pay 100 per cent of connection and augmentation costs' limb is corroborated independently: Transgrid's 26 August 2026 position states that where new large users drive network investment beyond their physical connection, costs will be borne by the proponents rather than existing consumers, and the Network Capacity Allocation Policy makes capacity conditional on committing to fund augmentation. The $10.3bn and $1.1bn figures are industry forecasts and are NOT verified. The 'no subsidies or tax incentives' limb is consistent with this database's own finding that no cash concession has been located, but it does not address non-cash state support, which IS documented: the 75-day NSW fast track, Investment Delivery Authority endorsement, a NSW approvals authority for projects above A$1bn, and Victoria's three-month fast track. Given on 1 May 2026, six months before the IDA Round 2 and after Round 1.",CLAIMED,SRC_INQ_T_0501,high,2026-09-18
7,ENT_DATA_CENTRES_AU,,2026-05-01,national,"There is significant misinformation around water use in the public debate. The ABS water accounts show that data centre water use is 0.04 per cent of Australia's water use, and less than 1 per cent of Sydney's water use. The 25 per cent of Sydney's water by 2035 that has been widely repeated in the media and in submissions to this inquiry is not based in fact. It was dismissed by IPART - the independent pricing regulator - as being unverifiable, and it should be dismissed.",other,,ABS water accounts,,CONTRADICTED,"Contradicted on three grounds from the same inquiry record. (1) Sydney Water's Managing Director Darren Cleary was asked directly on 22 May 2026 whether he stood by the 25 per cent forecast and answered 'We do, and we acknowledge the uncertainty', adding that current applications alone represent demand equivalent to a new suburb connecting to the system. The utility that holds the applications stands by the figure. (2) The claim conflates current measured use with a ten-year forward projection: the ABS water accounts describe present consumption, Sydney Water's figure describes demand from applications received. (3) The characterisation of IPART's position as dismissing the figure is unverified and is being checked against IPART's own determination (RG-042). Note also that DCA gave two different figures on two different days - 0.04 per cent of national use and less than 1 per cent of Sydney's on 1 May, and 1.9 per cent as attributed by the Chair on 22 May.",CLAIMED,SRC_INQ_T_0501,high,2026-09-18
8,ENT_SYDNEYWATER,,2026-05-22,national,"Data centre water demand could reach 25 per cent of Greater Sydney demand over ten years; there will not be a cross-subsidy to the consumer, and if a recycled water facility is developed that cost will be borne by the proponents.",other,,applications received,,PARTIALLY_VERIFIED,"The Managing Director stood by the projection under questioning while conceding the ten-year figure could be 20, 10 or 5 per cent, and explained the method: forecasts are based on applications actually received, with obviously duplicative or entirely speculative applications removed. He also gave the committee a reason to trust water applications more than energy applications: by the time a proponent applies for water it has typically already secured its energy connection, so its project is more mature. The no-cross-subsidy commitment is consistent with the IPART water pricing review commissioned on 17 August 2026 and with NSW Guideline Principle 2, but is a statement of intent rather than an enforceable obligation.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
9,ENT_BCA,,2026-04-02,national,"Around 70 per cent of electricity used by data centres is already offset by renewable energy, through a mix of on-site solar generation and long-term renewable power purchase agreements with renewable energy developers to secure electricity supply. Data centre operators committing to long-term contracts 'underpin the financing of new wind and solar capacity that might otherwise struggle to proceed'.",percentage_renewable,,on-site solar and long-term PPAs; no certificate type or surrender data specified,"Clean Energy Regulator data checked: no data centre operator appears as an LGC-liable entity in the shortfall register (0 of 143 entries, 2001-2025); only two of eight operators reported market-based scope 2 in 2024-25 and none in 2023-24; NEXTDC's market-based figure is 3.6% below its location-based figure; REC Registry holdings are CDC 233,209, Amazon Energy LLC 226,073 and NEXTDC 500, with AirTrunk, Equinix and Global Switch holding none.",CONTRADICTED,"Contradicted as a sector-wide statement by the primary regulator data. Location-based scope 2 ROSE for every hyperscale operator across 2019-20 to 2024-25: AirTrunk +485% to 553,344 t, Amazon +202% to 405,217 t, CDC +111% to 317,465 t since 2020-21, NEXTDC +64% to 358,353 t. The additionality limb - that operator contracts cause new wind and solar that would otherwise not proceed - is the specific claim Greenpeace Australia Pacific found unproven for every operator analysed in May 2026, and the NSW Government separately records that PPAs to date 'largely skew to solar projects, not the new wind, storage and other firming assets needed for grid stability in NSW'. The 70 per cent figure is not reconcilable with any published dataset: it is not a location-based figure, and the market-based data that could test it is reported by two operators only. Note this is a claim about the whole sector made by a peak body whose board includes an operator whose own 100 per cent claim is separately recorded as CONTRADICTED.",CLAIMED,SRC_BCA_SUB116,high,2026-09-18
10,ENT_BCA,,2026-04-02,national,"Datacentre operators in Australia pay full taxes with no concessions. These companies employ thousands of Australians, pay local taxes and reinvest heavily in new infrastructure.",other,,assertion; no revenue-office record cited,,UNVERIFIED,"This is the second independent industry denial on the record, and it is the closest any primary document comes to answering the NSW inquiry's terms of reference (g)(iii) on 'the extent of public subsidies, concessions or state directed facilitation provided to the sector'. Data Centres Australia made the equivalent claim orally under parliamentary privilege on 1 May 2026 and in its public materials. No revenue-office record either way has been located, which is why RG-007 remains open and why the FOI strategy at reports/RG007_foi_strategy.md is framed to seek policy instruments and aggregate counts rather than named taxpayer assessments. The claim is also narrower than the question asked: it addresses tax concessions and is silent on 'state directed facilitation', which is documented and substantial - the NSW 75-day pathway with a DPHI concierge function and pre-assessment support beginning before site selection, IDA endorsement, and Victoria's Development Facilitation Program. Notably the word 'subsidy' does not appear anywhere in the submission.",CLAIMED,SRC_BCA_SUB116,high,2026-09-18
