id,holder_id,target_id,stake_pct,instrument,effective_from,effective_to,transaction_value_aud,event,firb_reviewed,firb_outcome,notes,fact_status,source_id,confidence,as_of_date
1,ENT_BLACKSTONE,ENT_AIRTRUNK,88.0,equity,2024-12-23,,24000000000.0,acquisition of the Macquarie AM / PSP stake,1,approved (transaction completed following regulatory approvals),"Consortium vehicles: Blackstone Real Estate Partners, Blackstone Infrastructure Partners, Blackstone Tactical Opportunities, Blackstone PE strategy for individual investors.",VERIFIED,SRC_AIRTRUNK_BC,high,2024-12-23
2,ENT_CPP,ENT_AIRTRUNK,12.0,equity,2024-12-23,,,acquisition,0,,,VERIFIED,SRC_CPP,high,2024-12-23
3,ENT_MACQUARIE_AM,ENT_AIRTRUNK,,equity,,2024-12-23,,exit (part of the 88% stake sold),0,,,REPORTED,SRC_INFRAINV,medium,2024-09-05
4,ENT_PSP,ENT_AIRTRUNK,,equity,,2024-12-23,,exit (part of the 88% stake sold),0,,,REPORTED,SRC_INFRAINV,medium,2024-09-05
5,ENT_INFRATIL,ENT_CDC,49.75,equity,2025-02-18,,,pre-emptive acquisition of 1.58% from CSC,0,,,VERIFIED,SRC_CDC2025,high,2025-02-18
6,ENT_FUTUREFUND,ENT_CDC,34.55,equity,2025-02-18,,,pre-emptive acquisition of 10.46% from CSC,0,,,VERIFIED,SRC_CDC2025,high,2025-02-18
7,ENT_CSC,ENT_CDC,12.04,equity,2025-02-18,,,retained after sale process,0,,,VERIFIED,SRC_CDC2025,high,2025-02-18
8,ENT_MAMRE_OWNER,ENT_CDC,3.66,equity,2025-02-18,,,management holding,0,,,VERIFIED,SRC_CDC2025,high,2025-02-18
9,ENT_KHUDA,ENT_BCA,,board_seat,2025-06-27,,,board appointment,0,,"Not an equity relationship. Recorded in the ownership table because that table is the database's control-and-influence chain and there is no better place for a board seat: Robin Khuda sits on the BCA Board as founder and CEO of AirTrunk, alongside the chief executives of Telstra, Commonwealth Bank, Wesfarmers, Google Australia and New Zealand and BHP Australia. Read the instrument field before treating any row here as a shareholding.",VERIFIED,SRC_AIRTRUNK_BCA,high,2026-09-18
10,ENT_TCS,ENT_TCS_HYPERVAULT,51.0,joint_venture,2025-11-20,,,HyperVault JV formation with TPG (announced),0,,"Instrument is joint_venture per the schema enum; TCS holds the majority. Announced 20 November 2025 as subject to conditions precedent and statutory approvals, so the holding is announced rather than completed. TCS states HyperVault is funded through a mix of equity from TCS and TPG, and debt.",VERIFIED,SRC_TCS_HYPERVAULT,high,2026-09-18
11,ENT_TPG,ENT_TCS_HYPERVAULT,49.0,joint_venture,2025-11-20,,,"HyperVault JV formation (announced); TPG to invest up to Rs 8,820 crore of a combined commitment of up to Rs 18,000 crore",0,,"Instrument is joint_venture; the stake range is recorded in stake_pct at its UPPER BOUND. The of the announced range is release gives 27.5-49% and fixes no number. TPG participates through TPG Rise Climate and its Global South Initiative (launched in partnership with ALTERRA) and through TPG Asia Real Estate. Deal advisers: TCS by AZB & Partners and Deloitte Touche Tohmatsu India LLP; TPG by Cyril Amarchand Mangaldas, Latham & Watkins and Price Waterhouse & Co. LLP - four of the six being firms that also appear in Australian public procurement.",VERIFIED,SRC_TCS_HYPERVAULT,high,2026-09-18
12,ENT_FUTUREFUND,ENT_PALANTIR,0.06,equity,,,,,0,,"Future Fund listed-equity holding in Palantir Technologies Inc. (code BN78DQ4): 620,169 shares valued at A$165,307,100 - 0.06% of the fund - read directly from the Periodic Investment Report as at 31 Dec 2025 (archived CSV, sha256 5354c9dff...efeab). Trajectory per Crikey citing FF disclosures: A$1,616,512.92 (Feb 2023) -> 498,339 shares / A$103,649,987 (30 Jun 2025) -> A$165,307,100 (31 Dec 2025); Crikey notes the stake exceeds the fund's holdings in AGL, Seek or NEXTDC. This is a market holding, not control: stake_pct is the fund's share OF ITS OWN PORTFOLIO (0.06%), not of Palantir - recorded here because the table is the database's control-and-influence chain and sovereign-wealth exposure to a defence-AI vendor is influence-adjacent capital. Not a transaction, so transaction_value_aud is NULL rather than the holding value.",VERIFIED,SRC_FF_PIR_DEC25,high,2025-12-31
