actor,person,channel,recipient,event_date,instrument,position,outcome,disclosed,fact_status,confidence,source_url
Business Council of Australia,"Bran Black, Chief Executive",media_campaign,Commonwealth Government / public debate,2026-07-15,AFR coverage of the Commonwealth grid mandate for data centres,'Sounded a note of caution given the global competition to attract investment' in response to the Albanese Government's move to require data centres to generate more power than they use.,"The Commonwealth proceeded: on 5 August 2026 the AEMC published advice to the ECMC on mandatory demand offsetting, the Energy Minister lodged rule change requests ERC0448 and ERC0456 on network cost recovery, and NSW introduced the Electricity Infrastructure Investment Amendment Bill 2026.",1,REPORTED,medium,https://www.afr.com/technology/industry-giants-target-roadblocks-to-ai-investment-20251127-p5niu1
Business Council of Australia,"Wendy Black, Executive Director Policy",parliamentary_evidence,NSW Legislative Council Public Accountability and Works Committee,2026-05-29,"Public hearing, Macquarie Room, Parliament House","Oral evidence in the same session as Endeavour Energy, Ausgrid, the Clean Energy Council, the Business Council's own peer bodies, the UNSW AI Institute, the Australian Information Industry Association, Sydmec and Sweltering Cities.",Recorded in the corrected transcript. In the same hearing a witness stated that cross-subsidisation of industrial use by other customers 'is inconsistent with the framework that we have adopted'.,1,VERIFIED,high,https://files.parliament.nsw.gov.au/fileapi/ParlFiles/GetArtifact?serverRelativeUrl=%2Flcdocs%2Ftranscripts%2F3806%2FTranscript%20-%20CORRECTED%20-%20PAWC%20-%20Data%20Centres%20%E2%80%93%2029%20May%202026.pdf
Data Centres Australia,"Belinda Dennett, Chief Executive Officer",parliamentary_evidence,NSW Legislative Council Public Accountability and Works Committee,2026-05-01,"Public hearing, Jubilee Room, Parliament House - first witness","Under parliamentary privilege: data centre operators pay their way; the national electricity rules require all large load users including data centres to pay 100 per cent of connection costs and augmentations; operators will pay $10.3 billion in energy infrastructure to 2030 with $1.1 billion of that excess capacity available for public use; operators 'do not receive subsidies or tax incentives'; ABS water accounts show data centre water use is 0.04 per cent of Australia's and less than 1 per cent of Sydney's; and the widely repeated 25 per cent of Sydney's water by 2035 'is not based in fact' and 'was dismissed by IPART as being unverifiable, and it should be dismissed'. Also that data centres generate 'the highest gross value added per unit of energy of any industrial sector'.","Sydney Water's Managing Director Darren Cleary was asked on 22 May 2026 whether he stood by the 25 per cent forecast and answered 'We do, and we acknowledge the uncertainty'. The IPART characterisation remains unverified - research gap RG-042.",1,VERIFIED,high,https://files.parliament.nsw.gov.au/fileapi/ParlFiles/GetArtifact?serverRelativeUrl=%2Flcdocs%2Ftranscripts%2F3731%2FTranscript%20-%20CORRECTED%20-%20PAWC%20-%20Data%20Centres%20-%201%20May%202026.pdf
Business Council of Australia,,peak_body_submission,"NSW Legislative Council Public Accountability and Works Committee, Inquiry into Data Centres",2026-04-02,Submission No 116,"Four recommendations: (1) 'Recognise data centres as a strategic economic opportunity for NSW and recalibrate policy settings, regulatory approaches and community narratives to enable and attract investment at scale'; (2) align the NSW approach with the Commonwealth Expectations to create a national and consistent approach so Australia can compete for investment; (3) give the new Investment Delivery Authority the ability to rapidly assess and recommend public infrastructure investments that support major private sector projects; (4) monitor planning reforms to ensure they deliver better performance, 'focusing on efficiency, consistency, and certainty in the planning system'. The submission states that 'the BCA has consistently called for a reduction in regulatory burden, and we do not support introducing additional regulation where it is unnecessary', and cites the BCA's own 2025 Regulation Rumble ranking NSW last for planning system performance as at June 2025.","The NSW Data Centre Guidelines of 17 August 2026 adopted the alignment-with-Commonwealth position (the Guidelines state they are 'consistent with the Australian Government's Expectations ... published in March 2026') and the IDA was already operating, with Round 1 endorsed on 27 March 2026 - five days before this submission was received. Recommendations 3 and 4 concern the IDA and planning performance, both of which remained live policy through 2026. No recommendation sought an environmental, emissions, water, noise, community-benefit, local-content or domestic-compute measure.",1,VERIFIED,high,https://files.parliament.nsw.gov.au/fileapi/ParlFiles/GetArtifact?serverRelativeUrl=%2Flcdocs%2Fsubmissions%2F95078%2F0116%20Business%20Council%20of%20Australia.pdf
Tata Consultancy Services Limited,,industry_forum,Australia-India CEO Forum,2026,Forum membership; co-chair of the Australia India Women's Leadership Forum,"TCS is a member of the government-convened Australia-India CEO Forum and co-chairs its Women's Leadership Forum. The Forum's Director is Jodi McKay, who is concurrently Australia's Senior Trade and Investment Commissioner for South Asia at Austrade (Mumbai) and a former NSW Leader of the Opposition and Cabinet Minister. McKay has posted in that capacity about meeting 'Australia-India CEO Forum member Tata Consultancy Services' and about TCS's Mumbai facility.","Ongoing. A second access channel distinct from the BCA, and one that runs through a serving Commonwealth trade commissioner rather than a domestic peak body.",1,REPORTED,medium,https://www.austrade.gov.au/en/about-austrade/our-team/our-trade-commissioners/jodi-mckay
Business Council of Australia,,commissioned_research,Public policy debate; cited in Submission No 116,2025-11-21,"Oxford Economics, 'Surging Data Centre Connection Requests Drive Phantom Demand', 21 November 2025","That of roughly 44 GW of connection requests linked to data centre proposals received by AEMO in 2025, only about 6 GW of project capacity is expected to proceed and only 2.8 GW of actual electricity draw at maturity - '15 times lower than what is sometimes reported'.","Cited by the BCA to the NSW inquiry and, per the Chair's questioning on 22 May 2026, by Data Centres Australia as well. The NSW Data Centre Guidelines separately cite Oxford Economics work prepared for AEMO estimating that 6 in every 7 MW of connection requests are phantom. The two are consistent: 6 of 7 not proceeding is a 14 per cent conversion rate.",1,REPORTED,high,https://files.parliament.nsw.gov.au/fileapi/ParlFiles/GetArtifact?serverRelativeUrl=%2Flcdocs%2Fsubmissions%2F95078%2F0116%20Business%20Council%20of%20Australia.pdf
Tata Consultancy Services Limited,,other,"Australian data centre policy debate (position, not advocacy)",2025-11-20,HyperVault / TPG strategic partnership announcement,"By becoming a hyperscale data centre developer, TCS moved from being a supplier to government into the class of entity whose interests the NSW Data Centre Guidelines, the Commonwealth Expectations and the two parliamentary inquiries are actually about. TPG - its JV partner - is itself a BCA member. TPG's Jim Coulter frames data centers as an asset class at 'the intersection of green energy infrastructure, technology and real estate'.","Announced, subject to conditions precedent and statutory approvals. India-scoped: Chandrasekaran is quoted on building 'GW-scale AI data centers in India'. No Australian HyperVault facility is announced (RG-075).",1,VERIFIED,high,https://www.tcs.com/who-we-are/newsroom/press-release/tcs-secures-1bn-investment-from-tpg-accelerate-ai-data-center-business-hypervault
Palantir Technologies Inc.,"Damian Parmenter CBE, former UK Ministry of Defence Director General AUKUS (2023 - 1 Feb 2025); Palantir Technologies UK Ltd 'Senior Counsellor' from July 2025",revolving_door,UK MoD and AUKUS trilateral networks (contacts 'especially in the US and Australia'),2025-07,"ACOBA business appointment advice letter, June 2025 (published c. Sep 2025)","Senior advisory role providing 'decision support' to the UK Head of Palantir on international defence and security issues, 'focused on international opportunities within Europe and the Indo-Pacific' (Parmenter's own description to ACOBA)","Appointment permitted subject to conditions: no use of privileged information; two-year bars on lobbying the UK government, on using in-office contacts to advantage Palantir (including 'in other governments and organisations'), and on advising on UK government/MoD bids; must not advise on the UK defence sector. Palantir confirmed adherence.",1,VERIFIED,high,https://assets.publishing.service.gov.uk/media/689f4b65b4b6acd341133a95/Advice_Letter_-_Damian_Parmenter__Senior_Counsellor__Palantir.pdf
AirTrunk,"Robin Khuda, Founder and CEO",peak_body_board,Business Council of Australia,2025-06-27,"BCA Board appointment, announced jointly with Telstra CEO Vicki Brady","Access to the governance of Australia's principal general business peak body, whose board carries the CEOs of Telstra, Commonwealth Bank, Wesfarmers, Google Australia and New Zealand and BHP Australia, and the chairman of Gilbert + Tobin. BCA President Geoff Culbert framed the appointment as strengthening the board's 'expertise in innovation and the digital economy'.","Sitting. AirTrunk joined the BCA in or around May 2025, six months before the NSW Data Centre Consultation Paper and eleven months before the NSW Data Centre Guidelines.",1,VERIFIED,high,https://airtrunk.com/robin-khuda-appointed-to-the-board-of-the-business-council-of-australia/
Business Council of Australia,,media_campaign,Commonwealth Government / public debate,2025-06-02,"BCA Australian AI report, media release 'Business Council unveils Australian AI report to secure leadership by 2028'",Recommendations include 'Simplify data centre approvals to speed up infrastructure build'.,Published nine months before the NSW Data Centre Consultation Paper (March 2026) and eleven months before the Commonwealth Expectations (23 March 2026).,1,REPORTED,medium,https://www.bca.com.au/our-insights/media-releases/business-council-unveils-australian-ai-report-to-secure-leadership-by-2028/
