id,as_of,scope,metric_name,value,unit,basis,scenario,notes,fact_status,source_id,confidence,as_of_date
1,2026-06,Australia,operational_data_centres,162.0,count,actual,,"AEMO, citing DCByte. Predominantly Sydney and Melbourne. BBC separately reports 162 with 90 more planned.",VERIFIED,SRC_AEMO26,high,2026-09-18
2,2026,Australia,planned_data_centres,90.0,count,pipeline,,,REPORTED,SRC_BB2026,medium,2026-09-18
3,2026,Australia,grid_share_of_electricity,2.0,%,actual,,Today's national grid-supplied electricity use.,VERIFIED,SRC_AEMO26,high,2026-09-18
4,2026-03,Australia,transmission_connection_queue_projects,11.0,count,pipeline,,"Projects >5 MW progressing through the transmission connection process at the end of the March 2026 quarter; ~60% NSW, ~40% VIC; most at early stages.",VERIFIED,SRC_AEMO26,high,2026-09-18
5,2026-03,Australia,transmission_connection_queue_mw,5400.0,MW,pipeline,,,VERIFIED,SRC_AEMO26,high,2026-09-18
6,2026-06,Australia,transmission_connection_queue_mw,9000.0,MW,pipeline,,"Secondary reporting indicates the queue rose from 5.4 GW to 9 GW in one quarter, with 7.6 GW still at application stage. Confirm against QED Q2 2026 before publication.",REPORTED,SRC_AEMO26,low,2026-09-18
7,2026,Australia,data_centre_pipeline_investment,155.0,AUD bn,estimate,,"Westpac IQ: exceeds $155bn, or 5.6% of one year's GDP.",REPORTED,SRC_WESTPAC,medium,2026-09-18
8,2030,Australia,data_centre_energy,12.0,TWh/yr,forecast_central,,~6% of grid-supplied electricity; ~25% p.a. growth.,VERIFIED,SRC_AEMO26,high,2026-09-18
9,2050,Australia,data_centre_energy,34.0,TWh/yr,forecast_central,,~12% of grid-supplied electricity.,VERIFIED,SRC_AEMO26,high,2026-09-18
10,2026,WA,operational_data_centres_swis,15.0,count,actual,,"South West Interconnected System. WA is in the WEM, not the NEM - a scope caveat for any 'National Electricity Market' framing.",VERIFIED,SRC_AEMO26,high,2026-09-18
11,2024,Australia,deployable_capacity,1350.0,MW,actual,,"Mandala Partners, Data Centres as Enabling Infrastructure.",REPORTED,SRC_CERTSTRAT,medium,2026-09-18
12,2030,Australia,deployable_capacity,3100.0,MW,forecast_central,,Mandala Partners; requires >A$26bn of new investment.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
13,2025,Australia,live_capacity,1400.0,MW,actual,,"CBRE, August 2025.",REPORTED,SRC_CERTSTRAT,medium,2026-09-18
14,2028,Australia,live_capacity,1800.0,MW,forecast_central,,CBRE; demand outpaces supply by 0.7-1.7 GW.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
15,2026-07,NSW,operational_or_construction_data_centres,60.0,count,actual,,,REPORTED,SRC_ABCNSW26,high,2026-09-18
16,2026-07,NSW,ssd_pipeline_projects,19.0,count,pipeline,,,VERIFIED,SRC_NSWGUIDE26,high,2026-09-18
17,2026-07,NSW,ssd_pipeline_value,50.3,AUD bn,pipeline,,,VERIFIED,SRC_NSWGUIDE26,high,2026-09-18
18,2030,NSW,grid_share_of_energy,11.0,%,forecast_central,,"NSW Minister for Climate Change, Environment and Energy. AEMO forecast: doubling from 5% of NSW grid-supplied energy in 2026 to 11% by 2030, over the same period in which ~7 GW of NSW coal generation is scheduled to retire.",REPORTED,SRC_ABCNSW26,high,2026-09-18
19,2040,NEM,grid_share_step_change,6.0,%,forecast_low,,AEMO 2025 ESOO lowest-growth scenario: 3% to 6% by 2040.,REPORTED,SRC_GREENPEACE_SUB,medium,2026-09-18
20,2040,NEM,grid_share_high_growth,13.0,%,forecast_high,,AEMO highest-growth scenario; more than total EV load or total residential electrification. Step Change projection for 2040 jumped from just under 5 TWh (2024 report) to 27 TWh (2025 report).,REPORTED,SRC_GREENPEACE_SUB,medium,2026-09-18
21,2026-08,Sydney basin,large_load_connection_enquiries,20000.0,MW,enquiry,,Transgrid: insufficient capacity exists today to connect any of the 20 GW of enquiries.,VERIFIED,SRC_TRANSGRID26,high,2026-09-18
22,2024-12,Sydney West (12 km radius),data_centre_connection_enquiries,10000.0,MW,enquiry,,Equivalent to the peak winter load for the whole of NSW concentrated in one local area. Enquiries received since late 2024.,VERIFIED,SRC_TRANSGRIDCAP,high,2026-09-18
23,2026-08,Western Sydney,signed_data_centre_connection_capacity,1500.0,MW,signed,,,VERIFIED,SRC_TRANSGRID26,high,2026-09-18
