id,claim_label,claim_status,premise_check,australia_reality,replacement_spec,existing_policy_hook,residual_gap,evidence_site_ids,source_ids,as_of_date
1,Standalone islanded power (on-site gas/diesel as the primary supply),PARTLY_SOUND,"The premise needs restating, and the restated version is worse than the original. Islanded primary supply is rare in Australia - one gas proposal at Moss Vale. But every consent examined installs enough diesel generation to run the ENTIRE facility, and in three of four cases attaches no NOx mass cap, no stack height requirement and no annual emissions testing to it. Glendenning: 267.45 MW installed back-up against a 235 MW consumption cap. Davis Road: 181.92 MW against 160.85 MW. Roberts Road: 170 MW installed. DCI Poplars: 35 MW. These are parallel power stations, not standby reserves - and the 200 hours per year condition that limits their use is a standard Department condition written into consents since at least 2020, not merely a gap in a regulation.","The exposure is therefore not stranded carbon assets from islanding; it is that behind every consented data centre in NSW sits the installed capacity to run it entirely on diesel, licensed for 200 hours a year with no mass emission cap in most cases, in corridors where residents already report low-frequency hum at 350 m and where schools and retirement villages are adjacent. At Mamre Road the proposal is 846 generators and more than 18,000 kL of diesel - roughly nine times the 2,000 tonne cap the Department has applied consistently since 2020. Glendenning shows the Department CAN do better: 170 hours, an absolute NOx cap below 10 t/yr, 45 m stacks, annual rotational testing, evening and concurrency limits, and a no-preclude-retrofit design requirement. Those are the measures to generalise, and they cost nothing at the design stage.","Do not mandate islanding removal alone. Mandate (a) Group 6 limits with no 200-hour exemption in urban and peri-urban zones, scaling to US EPA Tier 4 as Victoria already requires, (b) a prohibition on non-emergency generator use, (c) continuous emissions monitoring with public reporting, (d) SCR on all sets above 560 kW, and (e) a hard cap on on-site diesel inventory tied to a Fire and Rescue NSW preliminary hazard analysis. For the rare genuinely islanded project, require the Safeguard Mechanism to apply regardless of the 100 kt threshold.","NSW Data Centre Guidelines Principle 1 Ref 4 (Group 6 limits, Tier 2 alternative for remote sites); Victorian EPA requirements (Tier 4, non-emergency use prohibited, monitoring); NSW Guidelines Ref 6 (fire and explosion risk, diesel and lithium-ion); Safeguard Mechanism.","The 200-hour unregulated window still exists in the general regulation and is acknowledged in NSW Government guidance, but it is NOT a floor: SSD-73761707 caps generator operation at 170 hours per year, caps installed back-up capacity at 267.45 MW against a 235 MW load, caps on-site diesel at 2,000 tonnes, imposes 45 m stacks and an absolute cap below 10 t/yr NOx as NO2-equivalent, requires annual rotational emissions testing to EPA Approved Methods, requires that generator and enclosure design not preclude retrofitting additional controls, and sets receiver-specific noise limits that differ between generator-running and other periods. So the correct critique is no longer 'the loophole exists' but 'the loophole's closure is discretionary and site-by-site'. No Australian jurisdiction yet requires continuous public emissions reporting, and cumulative precinct-level air quality assessment is directed at Kemps Creek but is not a standing requirement. RG-038 tests whether the 170-hour and 10-tonne pattern repeats.","SITE_CLOUDCARRIER_SH,SITE_MAMRE_ROAD,SITE_AIRTRUNK_SYD2","SRC_NSWGUIDE26,SRC_EPAVIC,SRC_GREENPEACE_SUB,SRC_IA_MAMRE,SRC_SSD73761707_CONSENT,SRC_SSD10330_CONSENT,SRC_SSD59416728_CONSENT,SRC_DCI_POPLARS_CONSENT",2026-09-18
2,Mandate synchronous condensers at every data centre for grid stability,FACTUALLY_WRONG_PREMISE,"The diagnosis is right, the instrument is wrong. Data centres are large inverter-based loads that degrade system strength; AEMO says so explicitly. But synchronous condensers are network-side assets commissioned by transmission businesses to supply system strength at nodes. A load does not install one.","The regulatory response already underway is different and better targeted: the AEMC's March 2026 draft determination creates access standards for large inverter-based loads, requiring fault ride-through rather than disconnection. AEMO cites the July 2024 Virginia event where ~1,500 MW of data centre load tripped after a single fault. NSW requires a 25% reduction in grid-supplied demand for up to two hours, achievable only by load shifting or on-site/proximate renewables and storage - and expressly not by diesel generators.","Replace 'install synchronous condensers' with: (1) mandatory compliance with the new large inverter-based load access standards including fault ride-through and voltage control; (2) a proponent contribution to network-side system strength where the connection degrades it, priced through the connection agreement rather than self-supplied hardware; (3) contracted demand flexibility of at least 25% of average load for two hours, registered with AEMO as a schedulable or semi-scheduled resource; (4) co-located or proximate battery storage sized at 25% of generation capacity for four hours where the project relies on PPAs; (5) registration as a demand response provider so the facility is dispatchable in the wholesale market rather than merely interruptible by private contract.","AEMC draft determination on access standards for inverter-based loads; NSW Guidelines Principle 2 Ref 9 (25% / 2-hour demand reduction, diesel excluded) and Principle 3 Ref 13(b) (storage at 25% of generation for four hours); Transgrid Network Capacity Allocation Policy; AEMO rule change request of April 2024.","No Australian instrument yet requires a data centre to register as a market participant providing demand response, and system strength contributions are negotiated case by case rather than standardised. The Commonwealth's stated intent to make large AI data centres 'work flexibly' is not yet in rules.","SITE_AIRTRUNK_SYD1,SITE_NEXTDC_S7,SITE_MAMRE_ROAD","SRC_AEMC,SRC_AEMO26,SRC_NSWGUIDE26,SRC_TRANSGRIDCAP",2026-09-18
3,Evaporative cooling on potable water is the standard Australian design and must be banned,PARTLY_SOUND,"Directionally right but overstated. Most Sydney data centres do use drinking water for cooling, and Sydney Water projects data centre demand equal to about a quarter of the city's yearly drinking water supply by 2035. However Australian design WUE is already low: recent NSW EISs average a WUE of 1.0, and the largest current proposals are moving to waterless direct-to-chip liquid cooling, not evaporative towers.","The premise is now testable against a primary document, and it partly inverts. Australia's largest proposed facility - Western Downs Digital Park, 2,160 MW IT load - states in its lodged application that it 'will utilise primarily air-cooled technology', which 'eliminates the need for water-based evaporative cooling', with mechanical water demand limited to the one-time commissioning flush and fill. NEXTDC's S7 (612 MW) likewise abandoned recycled water for waterless direct-to-chip cooling. So the largest new designs are already leaving evaporative cooling behind without being required to. But two things survive the correction. First, the water problem does not disappear: Western Downs has NO reticulated town water and its primary potable supply is drinking-water-standard water trucked in by road tanker to on-site tanks, with rainwater harvesting and treated wastewater reuse supplementary and the final strategy deferred to detailed design. Second, the energy penalty is real and large: 3,240 MVA of total facility demand against 2,160 MW of IT load implies a design PUE of about 1.50, against NSW ceilings of 1.25-1.3, so roughly 1,080 MW of the facility's demand is non-IT overhead - more than the entire IT load of S7. Trading water for energy at that scale, beside a 981 MW gas generation hub, in a state that dissented from the national renewable-offsetting agreement, is not obviously the better outcome.","Keep the water-neutrality objective but stop treating air cooling as the answer, because it converts a water problem into an energy problem at a measured ratio of about 1.5. Require instead: (1) a joint PUE-and-WUE ceiling, so a design cannot satisfy one by breaching the other - the NSW Guidelines already do this with their paired dPUE/dWUE bands and should be extended nationally; (2) disclosed total facility demand alongside IT load in every application, since the ratio is the whole story and the Western Downs figures only yield it by division; (3) for sites with no reticulated water, a potable supply plan that does not depend on road tankers at scale, with the traffic, road-wear and drought-resilience consequences assessed rather than deferred to detailed design; (4) recycled water trunk infrastructure funded and fast-tracked as a condition of precinct rezoning, BEFORE approvals, so waterless cooling is a choice rather than the only option - which is exactly what failed at S7; and (5) a hard energy-side consequence for choosing the waterless path next to fossil generation, which at present attracts no obligation in Queensland at all.","NSW Guidelines Principle 1 Ref 1-3 (dPUE/dWUE bands, 100% recycled water for water-intensive cooling, drought-responsive design, smart metering); Commonwealth Expectation 3 (minimise use, non-potable and circular water, cover water infrastructure costs, drought resilience, transparent reporting); IPART water pricing review announced 17 August 2026.","Reporting remains commercial-in-confidence under NSW Ref 7, so the public cannot audit actual water use. No national WUE standard binds outside NSW. Recycled water network build-out is not a condition precedent to rezoning, which is precisely what broke the S7 design.","SITE_NEXTDC_S7,SITE_MAMRE_ROAD","SRC_REUTERS_S7,SRC_NSWGUIDE26,SRC_ABC_WATER,SRC_GREENPEACE_SUB,SRC_WSAA,SRC_WDDP_TPR,SRC_DCD_ZERRA",2026-09-18
4,Unconditional subsidies for foreign hyperscalers,PARTLY_SOUND,"Still not established for Australia, and now denied twice on the record by two separately constituted peak bodies. The Business Council of Australia's Submission No 116 to the NSW inquiry states that 'datacentre operators in Australia pay full taxes with no concessions'; Data Centres Australia's CEO said under parliamentary privilege on 1 May 2026 that operators 'do not receive subsidies or tax incentives'. The word 'subsidy' does not appear anywhere in the BCA's 59,431-character submission. No revenue-office record either way has been located, which is why RG-007 remains open with an FOI strategy drafted.","The claim is narrower than the question the inquiry actually asked. Terms of reference (g)(iii) covers 'the extent of public subsidies, concessions OR STATE DIRECTED FACILITATION provided to the sector'. Tax concessions are denied; state directed facilitation is documented and substantial, and the BCA itself asks for more of it. Its Recommendation 3 seeks expanded powers for the Investment Delivery Authority to 'rapidly assess and recommend public infrastructure investments that support major private sector projects' - that is a request for public infrastructure to be directed at private projects. The NSW package already includes a DPHI concierge function, pre-assessment support that begins BEFORE a site has been selected, SEARs within two months, 75-day assessment and dedicated post-consent staff; Victoria's Development Facilitation Program offers ministerial determination with no VCAT appeal and no review of conditions above a $10m/$20m threshold. None of that is a tax concession and all of it is state directed facilitation. Recommendation 1 also asks government to 'recalibrate ... community narratives', which is a request to shape public discourse rather than to change an environmental standard.","Sharpen what exists rather than invent a new regime: (1) make Expectation 5 quantified and contractual - a stated percentage of installed capacity reserved for Australian universities, CSIRO, the Bureau of Meteorology and accredited start-ups, at published prices, as a condition of fast-tracking; (2) require disclosure of the operating FTE count per 100 MW so the jobs-to-capex ratio is public, and test economic-contribution claims (Microsoft's 186,000 FTE-equivalent figure is a modelling output, not employment) against payroll data; (3) make any fast-track benefit legally revocable for non-compliance, since NSW currently sets no penalties; (4) where state land or infrastructure is provided, take an equity or revenue-share position rather than a discount; (5) publish a national subsidy register covering in-kind support, which is currently invisible.","Commonwealth Expectations 4 and 5; NSW Guidelines Principles 4, 5 and 6 (benefit-sharing, local content, training and skills, with CDC Academy and the TAFE NSW Datacentre Academy cited as exemplars); Hosting Certification Framework (the only existing mechanism that ties a facility to sovereign government workload).",The subsidy register does not exist. Fast-track benefits carry no published penalty for non-compliance. Domestic compute allocation is voluntary and unquantified. Jobs claims are unaudited. FOI requests to state revenue offices (RG-007) are the critical path.,"SITE_MS_AU_FLEET,SITE_AWS_AU_FLEET,SITE_NEXTDC_S7","SRC_NSWGUIDE26,SRC_BIRD,SRC_DCA_TAX,SRC_MS2026,SRC_PINSENT,SRC_VICPLAN,SRC_BCA_SUB116,SRC_INQ_T_0501,SRC_GADENS_VIC,SRC_NSWGUIDE_S3",2026-09-18
5,The whole ecosystem sits inside the National Electricity Market,FACTUALLY_WRONG_PREMISE,"False as a scoping rule. WA operates the Wholesale Electricity Market and the South West Interconnected System, with 15 operational data centre sites; the NT is outside the NEM and dissented from the July 2026 ECMC data centre agreement, as did Queensland.","The largest single proposed facility in the country, Western Downs Digital Park at 2.16 GW peak, is in Queensland - inside the NEM but in a state that has refused the national offsetting mandate. A reported ~1 GW facility is planned in WA, outside it entirely. Any database scoped to the NEM would omit both, and would also mis-describe the regulatory position of the two dissenting jurisdictions.","Scope the database to Australia, with a `market` column (NEM / WEM / NT) on every site and a jurisdictional-applicability flag on every legal instrument. Report state-by-state regulatory divergence as a first-class finding, because siting arbitrage between a state that prohibits non-emergency generator use and one that allows 200 unregulated hours is itself a policy failure worth quantifying.",ECMC July 2026 agreement with Queensland and NT dissenting; AEMO's separate NEM and WEM Electricity Statements of Opportunities.,No national instrument binds WA or the NT. The proposed Commonwealth legislation is the only route to national coverage and is not expected before early 2027.,"SITE_WESTERN_DOWNS,SITE_WA_1GW,SITE_NEXTDC_D1,SITE_NEXTDC_P12","SRC_AEMO26,SRC_MALLESONS,SRC_ABC_WD,SRC_WA_1GW",2026-09-18
6,Renewable energy claims by operators can be taken at face value,UNSOUND_AS_STATED,False. Greenpeace Australia Pacific assessed operators in May 2026 and found that no data centre operator analysed adequately proved its claim of driving Australia's renewable energy growth. Clean Energy Regulator data reported by the AFR shows the top three operators' emissions doubled in five years and rose 20% in 2024-25.,"The Mamre Road EIS is the worked example: claimed scope 2 emissions fall from 23,574,172 t to about 918,316 t only once PPAs, vPPAs, green tariffs and RECs are counted, so the entire decarbonisation claim rests on instruments that are neither contracted nor evidenced. NSW records that PPAs to date skew to solar rather than the wind, storage and firming the state needs, and that just over half of projects in the planning system had committed to any form of PPA as at February 2026.","Adopt the NSW Principle 3 test as the national audit standard and enforce it against public data: contracted PPAs must be for NSW (or in-state) projects that had not reached FID when contracted, with a minimum 40% wind component, storage at 25% of generation capacity for four hours, and terms of at least ten years. Then reconcile every claim against Clean Energy Regulator LGC/STC surrender records and NGERS emissions per facility, and publish a per-operator scorecard. From year four of operation, contracted supply must equal annual average energy and rise with the load ramp.",NSW Guidelines Principle 3 Ref 13 (a-g); proposed REGO obligation under the national AI Standard (12 months to implement per AEMC); Commonwealth Expectation 2.1 (new and additional clean energy).,"REGO is not law, so additionality remains a guideline at national level. BUT the gap is narrower than at v1.2.0: the signed consent for SSD-73761707 (16 September 2026) already requires, as a binding condition precedent to operation, proof that all operational electricity demand including non-IT load is matched with a portfolio of additional, firmed renewable energy supply at all times through NSW-based NEM PPAs and a firming agreement. That is hourly matching with explicit additionality, imposed by consent condition rather than by statute, and it is stricter than both the NSW Guidelines' Principle 3 test and the Commonwealth Expectations. The residual gap is therefore (a) whether the condition is enforced and evidenced before operation, (b) whether it appears in other consents - RG-038, and (c) the absence of any national statutory equivalent. The Observatory's own audit still depends on RG-009 outputs.","SITE_MAMRE_ROAD,SITE_CLOUDCARRIER_SH,SITE_AIRTRUNK_SYD1","SRC_GP2026,SRC_GREENPEACE_SUB,SRC_AFR_NGER,SRC_NSWGUIDE26,SRC_MALLESONS,SRC_SSD73761707_CONSENT",2026-09-18
7,Phantom demand makes the pipeline a reliable measure of future load,UNSOUND_AS_STATED,"False, and the industry has now quantified it more sharply than any regulator. Oxford Economics research commissioned by the Business Council of Australia and cited in its submission to the NSW inquiry found that of around 44 GW of connection requests linked to data centre proposals received by AEMO in 2025, only about 6 GW of project capacity is expected to proceed and only 2.8 GW of actual electricity draw at maturity - described as '15 times lower than what is sometimes reported'. That is consistent with the 6-in-7 phantom figure the NSW Guidelines cite, with utilities' 20 per cent proceeds-likelihood, and with Transgrid's evidence that against 10 GW of enquiries and 6 GW of formal applications no data centre had committed as at 22 May 2026.","The correction runs against the sector's own interest and should be credited: industry-commissioned research is the source of the most deflating number in the debate. The practical consequence for this database is that NO pipeline figure - not 44 GW, not Transgrid's 20 GW of enquiries, not NSW's $50.3bn SSD pipeline, not Victoria's $25-51.9bn - may be reported as demand. On the industry's own numbers the realised national draw is about 2.8 GW at maturity. But the deflation does not answer the local-impact question, and it is important not to let it: a facility that IS built still sits 100 m from the houses at Marsden Park and 350 m from the houses at Lane Cove, still installs 267.45 MW of diesel generation against a 235 MW load, and still draws the water it draws, regardless of how many competing proposals were never built. Phantom demand is a reason to discount aggregate forecasts, not a reason to relax site-level conditions.","Store three separate capacity fields per project - lodged, signed (NCA executed) and energised - and never aggregate them. Publish every headline figure with its basis (enquiry / pipeline / signed / actual). Apply the 20% proceeds-likelihood haircut when modelling grid, water and price impacts, and reconcile state pipelines against the AEMO connection queue quarterly, since the queue is the only figure that survives commercial attrition.","Transgrid Network Capacity Allocation Policy (>=30 MW inverter-based loads, NCA-signature allocation, three-month criteria window); AEMO QED quarterly connection queue disclosure from Q1 2026.","Two hard filters now exist and should be reported alongside every pipeline figure. Transgrid's Executive General Manager told the Legislative Council on 22 May 2026 that against 10 GW of inquiries and 6 GW of formal applications, 'we haven't had a data centre actually commit yet - we're on the eve of that now', and that Transgrid will not invest without full commitment and proponent funding. The NSW Investment Delivery Authority declined to endorse $40.7bn of proposals as premature or overly speculative against $51.9bn endorsed, and three NSW applications have been withdrawn. Sydney Water's Managing Director offered the necessary counterweight: water applications are less likely to be phantom than energy applications, because by the time a proponent applies for water it has typically already secured its energy connection. So the discount rate is not uniform across resource types, and a single blanket haircut is wrong in both directions.",,"SRC_BCA_SUB116,SRC_NSWGUIDE26,SRC_TRANSGRID26,SRC_TRANSGRIDCAP,SRC_AEMO26,SRC_INQ_T_0522,SRC_NSW_IDA",2026-09-18
8,The $118m TfNSW 'Transport Equipment Centre of Excellence' is a 2025 outsourcing deal dressed up in buzzwords,FACTUALLY_WRONG_PREMISE,"PARTLY TRUE, MATERIALLY MISDATED. The contract is real, the value is exact, and the label is real. But it is not a July 2025 award. Primary notice CAN-100812 records an EFFECTIVE DATE OF 29 MARCH 2018 and a contract end of 30 June 2027 - a 9 year 3 month term, 92% elapsed. The aggregator that supplied these figures dates the same contract '29 July 2025' in its listing and '29 Mar 2018' in its own contract record. July 2025 is when the NOTICE was published, not when the contract was let.","This is an eight-year-old continuously re-disclosed sole-source arrangement, obtained by DIRECT NEGOTIATION per the notice. It is roughly half of the firm's entire tracked Australian public-sector exposure. The same function has been outsourced since at least 2018, when trade press reported TCS displacing Deloitte on a $76.7M three-year Transport for NSW software maintenance deal for this Centre. The correct finding is not 'a new $118m outsourcing deal' but 'a nine-year sole-sourced outsourcing arrangement worth more than the rest of the firm's Australian government portfolio combined, re-published in 2025 in a form that reads as new'. Note also what the notice discloses about accountability: variation provisions 'Not applicable', renegotiation provisions 'Not applicable', other private sector entities benefiting 'Not applicable', heightened modern slavery due diligence 'No', agency piggyback clause 'No', and 'No amendments have been made to this disclosure' across nine years.","RESTATE THE FINDING AS A DURATION AND COMPETITION FINDING, NOT A SIZE FINDING. The defensible claims are: (1) a single directly negotiated contract has run 9.25 years and accounts for 50.5% of the firm's tracked Australian public spend; (2) the notice records no variation, renegotiation or amendment provisions across that term; (3) the contract expires 30 June 2027 and is therefore a live recompete within the Observatory's reporting horizon. The user's proposed remedies - mandated open API standards, infrastructure-as-code delivery, state-owned deployment pipelines - are the right remedies for lock-in, and lock-in is exactly what a 9.25-year direct negotiation produces. They should be attached to the 2027 expiry, which is when they can actually bite.","NSW procurement rules require contract award notices above the disclosure threshold, which is why CAN-100812 exists and is readable at all. The direct-negotiation method is disclosed on the face of the notice.","No public register aggregates re-disclosures of the SAME contract, so a long-running sole-source arrangement appears in a 2025 dataset as fresh spend. That is the defect this row documents, and it is the same defect the Observatory found in the data centre pipeline itself: the BCA's own commissioned Oxford Economics research shows 44 GW of connection requests resolving to 2.8 GW of real draw, because gross aggregates are mistaken for net commitments. Double-counting is the recurring failure mode across both layers.",,"SRC_BUYNsw_CAN100812,SRC_GOVMARKET_TECOE,SRC_GOVMARKET_TCS",2026-09-18
9,Melbourne Water's 27 micro-contracts are fragmented procurement and a gross misuse of taxpayer funds,PARTLY_SOUND,"THE COUNTS AND VALUES ARE CORRECT; THE CHARACTERISATION IS NOT. $5.3M across 27 contracts is confirmed by the aggregator, and the nine individually visible contracts sum to $1,794,000 at an average of about $199k, consistent with the stated total. But 27 low-value awards to one pre-qualified supplier is the normal operation of a panel or standing-offer arrangement, not evidence of 27 separate procurement failures. Consolidated panels exist precisely to avoid running a full tender for a $105k hardware replacement.","The legitimate concern is different from the one stated, and is about CATEGORY rather than FRAGMENTATION. The visible scopes are Citrix upgrades, SolarWinds implementation and support, M365 OneDrive and SharePoint Level 2 infrastructure support, end-of-life hardware replacement, GIS consulting on time-and-materials, cyber security project management, network zone model refinement, and disaster recovery infrastructure build phase 2. These are run-the-business operational tasks and staff augmentation. Buying them through a consulting panel at consulting rates is a real cost question; the fragmentation is a symptom, not the disease. Note that only one visible engagement is explicitly priced time-and-materials (the $197k GIS engagement), so the brief's claim of 'paying premium day rates' is not substantiated by the visible records and should not be asserted. RELEVANCE TO THIS OBSERVATORY: Melbourne Water is the Victorian water authority whose counterpart claims are live in the data centre debate. The NSW Guidelines of 17 August 2026 require 100% recycled water for water-intensive cooling, and the BCA's Submission No 116 claims recycled water already supplies 55% of AirTrunk's total water use - unverified, logged as RG-068. Whether any of the 17 paywalled TCS engagements at Melbourne Water touch recycled-water supply planning is an open question (RG-080) and would be materially more interesting than the procurement-style point.","DROP 'gross misuse of taxpayer funds' - it is not evidenced and it discredits the rest. KEEP AND SHARPEN: (1) publish the panel drawdown as a single aggregate line per supplier per year so the total is visible rather than scattered across 27 notices; (2) require agencies to report what share of panel drawdown is run-the-business operational work versus discrete projects; (3) for the DR infrastructure build specifically, require the agency to state whether secondary-site capacity is involved, since that is data-centre-relevant scope. 'Automate the maintenance away' and 'self-healing cloud infrastructure' are not remedies for a procurement-category problem and should not be presented as such.",Victorian and Commonwealth procurement frameworks already require panel arrangements to be established competitively and drawdowns to be disclosed. The disclosure is happening - that is how the 27 are countable.,"18 of the 27 contracts are behind the aggregator paywall, so their scopes are unknown. No public source states the onshore/offshore delivery split, which is the variable that would actually determine whether the rate is 'premium'.",,SRC_GOVMARKET_TCS,2026-09-18
10,"Commodity work (Office 365 setup, defect fixes) is being disguised as strategic projects, subsidising integrator overhead",PARTLY_SOUND,"TRUE AS TO THE SCOPES. 'Office 365 Environment Setup for MoG GSS' ($189k, published 5 May 2025) is tenant setup for a Machinery-of-Government change affecting Government Shared Services. Three OneStream awards on 17, 18 and 19 December 2024 totalling $1,735,000 include one titled 'Defect Fix Services for OneStream Solution' at $1.1M. These are operational and remedial scopes. Whether they were 'disguised as strategic projects' cannot be established: they were published under accurate titles that say plainly what they are.","The stronger and better-evidenced version of this critique is about AGENCY ATTRIBUTION AND THRESHOLDS, not disguise. Two findings survive scrutiny. First, the $1.1M award is titled 'DEFECT FIX SERVICES' - a nine-figure-sum portfolio that includes a seven-figure remediation contract is a portfolio in which delivery quality is being paid for twice, once to build and once to fix. That is a legitimate and specific criticism. Second, the O365 contract's agency attribution is itself unreliable: the aggregator assigns it to the NSW Department of Customer Service while the title and pattern are consistent with a Commonwealth award, which means public reporting of who bought what cannot be relied on without going to the portal of record. The counter-argument the brief omits: MoG transitions are genuinely time-critical and genuinely exceed internal capacity by design, because a machinery-of-government change moves functions between agencies on a fixed political date. Buying surge capacity for that is defensible. The indefensible part is paying $1.1M to fix defects in a system already paid for.","REPLACE 'stop treating integrators as a substitute for internal engineering' with two testable requirements: (1) defect remediation contracts above a threshold should require the agency to disclose whether the defect arose under a prior contract with the same supplier, and if so, whether the original contract carried acceptance criteria and warranty; (2) every award notice should name the portal of record so aggregation cannot misattribute the buyer. The brief's proposal to 'embed senior technical architects into delivery teams to audit code quality' is sound practice but is an agency capability question, not a procurement rule, and it costs money the brief does not account for.","Contract award notices already require a description of goods and services, which is why the titles are accurate and this critique could be tested at all.","Warranty and acceptance terms are not published on award notices, so the 'paid twice' finding cannot be quantified from public data. It requires the contracts themselves, i.e. an FOI request - the same route the Observatory already drafted for tax concessions at reports/RG007_foi_strategy.md.",,"SRC_GOVMARKET_TCS,SRC_BUYNsw_CAN100812",2026-09-18
