id,site_id,connection_type,network_business_id,connection_point,nca_status,nca_date,augmentation_funded_by,augmentation_detail,max_demand_mw,average_load_mw,annual_energy_gwh,pue_design,pue_operating,demand_response_pct,demand_response_hours,battery_mw,battery_mwh,synchronous_condenser,onsite_gas_mw,onsite_gas_type,genset_count,genset_total_mw,genset_fuel,genset_annual_test_hours,diesel_storage_kl,emission_standard,epa_licence_id,safeguard_mechanism_exposed,grid_services_role,notes,fact_status,source_id,confidence,as_of_date
1,SITE_MAMRE_ROAD,tbd,ENT_TRANSGRID,,,,,,1200.0,,,,,,,,,0,,,846,,diesel,,18000.0,to be assessed against NSW Clean Air Regulation Group 6 limits under the 2026 Guidelines,,,load only (no demand flexibility or storage committed in the EIS as reviewed),"846 diesel back-up generators and >18,000 kL of diesel storage; lithium-ion batteries present. Greenpeace analysis of the EIS: peak grid emissions of 1,297,028 t CO2-e in 2032 and 33,041,033 t over the project life; 2,888,431 t in a slow-decarbonisation scenario peaking in 2037; substituting 'renewable diesel' in back-up generators reduces scope 1+2 from 1,700,709 to 1,699,810 t/yr.",REPORTED,SRC_IA_MAMRE,high,2026-04-30
2,SITE_NEXTDC_S7,tbd,ENT_TRANSGRID,,,,,,612.0,,,,,,,,,0,,,,,,,,,,,unknown; Transgrid states Sydney basin capacity is exhausted without proponent-funded augmentation,NEXTDC declined to give a target PUE for S7. Must commit to a fixed PUE limit under the new NSW requirements; the state-imposed cap is 1.3.,REPORTED,SRC_REUTERS_S7,high,2026-07-23
3,SITE_CLOUDCARRIER_SH,behind_the_meter_gas,,,,,,,,,,,,,,,,0,673.0,"fossil gas, reciprocating engines",,,,,,,,,islanded / self-supplied generation for the campus,"The clearest Australian instance of the 'standalone islanded power' model. Greenpeace estimates ~2.4 Mt CO2-e per year, approximately equal to the whole of NSW's economy-wide gas abatement projected for 2028.",REPORTED,SRC_GREENPEACE_SUB,medium,2026-03-27
4,SITE_WESTERN_DOWNS,hybrid,,,,,,,2160.0,,,,,,,,,0,,,,,,,,,,,"The application states the series battery system is 'multi-purpose: it supports energy arbitrage with the network' and that a battery storage system co-located with the data centre 'will be provided to minimise impact on the network'. It also states the batteries are ancillary and proposed only for the operation of the development. No capacity, duration, registration as a market participant or contracted demand flexibility is disclosed.","FROM THE LODGED APPLICATION. 2,160 MW of IT load with approximately 3,240 MVA of total facility demand. DERIVED, and it must be labelled as such: the ratio of total facility demand to IT load is 1.50, so the implied design PUE is approximately 1.50 on an apparent-power basis, or higher once power factor is accounted for. That is materially above the NSW Guidelines' dPUE ceiling of 1.25 or 1.3 and above the 1.15-1.4 range of recent NSW EISs, and it is consistent with the energy penalty of choosing air cooling over evaporative cooling in a hot inland climate. Electrical architecture: substations stepping transmission voltage to 33 kV, three 540 MVA transformers per stage with continuous N+1 redundancy, and a battery storage system integrated in series between each 33 kV incomer bus and the data building load via dual power conversion. Stage 1A connects to the existing network. The site adjoins the Braemar generation hub (Braemar 1 ~504 MW and Braemar 2 ~450 MW, gas and coal seam gas) and the APA-operated Daandine CGPF (~27.4 MW), and the report acknowledges supply 'via the gas power stations and generators'. Back-up generation is not described in the opening sections; the document refers instead to 'fire safety and containment measures for battery and fuel infrastructure'. Queensland dissented from the July 2026 ECMC agreement mandating renewable offsetting, so none of the NSW consent conditions found at Glendenning Road - all-times additional firmed renewables, generator hour caps, NOx mass caps - has any equivalent here.",VERIFIED,SRC_WDDP_TPR,high,2026-09-18
5,SITE_AIRTRUNK_SYD1,distribution,,,,,,,,,,,,,,,,0,,,,,,,,,,,co-located battery storage supporting the Western Sydney campus,Cited by the NSW Government as an example of a data centre managing grid-connected consumption during peak and low-generation periods. AirTrunk published 'AirTrunk stands ready to flex and invest in the grid' on 1 May 2026. Battery MW/MWh not disclosed in the Guidelines - see research_gaps RG-008.,REPORTED,SRC_NSWGUIDE26,medium,2026-08-17
6,SITE_MSFT_KEMPS,transmission,ENT_TRANSGRID,,,,,,,,,,,,,,,0,,,61,,diesel,,,not recorded on the portal project summary; consent conditions and any environment protection licence to be retrieved (research gap RG-008),,,load only; substation and high voltage switch yard on site,"Consent includes 61 generators, 30 diesel storage tanks, a substation and a high voltage switch yard. For comparison, the proposed 1 GW Mamre Road campus immediately adjacent specifies 846 generators and more than 18,000 kL of diesel storage. Cumulative diesel generation across the Mamre Road Precinct is therefore a single air-quality question split across at least three consents, which is exactly what the Department's cumulative-impact direction was meant to capture.",VERIFIED,SRC_NSWPORTAL_KC,high,2026-09-18
7,SITE_GLENDENNING,distribution,,,,,,,235.0,,,,,,,,,0,,,,267.45,diesel,170.0,2353.0,"NOx below 10 t/yr as NO2-equivalent, 45 m vertical stacks, annual rotational emissions testing to EPA Approved Methods, and POEO (Clean Air) Regulation 2022 compliance via best practice",,,Condition B20(c) requires a framework and management principles for accommodating shortfalls in renewable availability including through demand flexibility and firming; condition B22(c)(ii) requires measures to reduce emissions from all on-site electricity consumption including possible on-site or proximate generation and/or storage and/or demand flexibility. No numeric demand-response obligation and no battery capacity is imposed.,"Installed back-up generating capacity 267.45 MW against a total power consumption cap of 235.0 MW. Generator operation capped at 170 hours per year including testing; diesel storage capped at 2,000 tonnes (about 2,353 kL). The step change: 170 hours instead of 200; no more than 20 generators tested at once with at most 3 at 100 per cent load; at most one generator tested in the 6pm-10pm evening period; at most 5 hours of testing in any 24 hours; total NOx as NO2-equivalent below 10 tonnes per year; 45 m vertical stacks; annual rotational emissions testing; design must not preclude retrofit of additional controls; all operational electricity demand including non-IT matched with additional firmed renewable supply at all times via NSW NEM PPAs and a firming agreement before operation; Sustainability Management Plan with continuous metering and annual PUE, WUE and CO2-e reporting; recycled or non-potable water prioritised for cooling where available; website publication of approvals, plans, performance reporting and Independent Audit Reports.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
8,SITE_KURRI_KURRI,transmission,,,,,,,540.0,,,,,,,,,0,,,,,,,,,,,,"Two substations connecting to the existing 132 kV Ausgrid transmission line. Adjacent to Snowy Hydro's 660 MW Kurri Kurri gas power station. The NSW Data Centre Guidelines observe that data centres located close to generation, such as in Renewable Energy Zones, are likely to require fewer infrastructure upgrades, and that development where the network has spare capacity can reduce consumer bills - this site is the test case for that proposition, and also the test case for whether co-location with a new gas peaker is 'close to generation' in the sense the Guidelines intend.",REPORTED,SRC_DCD_KURRI,high,2026-09-18
9,SITE_ROBERTS_RD,distribution,,,,,,,,,,,,,,,,0,,,,170.0,diesel,200.0,2353.0,"no NOx mass cap, no stack height requirement and no annual emissions testing condition found in the consent text",,,,"Installed back-up generating capacity 170.0 MW (no total power consumption cap found in the consent text). Generator operation capped at 200 hours per year including testing; diesel storage capped at 2,000 tonnes (about 2,353 kL). Generator testing counted in real time so concurrent testing does not multiply the allowance. Emissions testing conditions present. No renewable procurement, PUE or WUE condition.",VERIFIED,SRC_SSD10330_CONSENT,high,2026-09-18
10,SITE_DAVIS_RD_CUNDALL,distribution,,,,,,,160.85,,,,,,,,,0,,,,181.92,diesel,200.0,,"no NOx mass cap, no stack height requirement and no annual emissions testing condition found in the consent text",,,,"Installed back-up generating capacity 181.92 MW against a total power consumption cap of 160.85 MW. Generator operation capped at 200 hours per year including testing; NO diesel storage cap. Two three-storey buildings, high voltage substation. No more than six generators tested at any one time. NO diesel storage cap at all - the only one of the four consents without one. Portal description references 180 MW against the consent's 160.85 MW.",VERIFIED,SRC_SSD59416728_CONSENT,high,2026-09-18
