id,name,operator_id,owner_id,anchor_tenant_id,proponent,suburb,lga,state,market,lat,lon,address,status,it_capacity_mw,total_capacity_mw,max_capacity_mw,first_phase_mw,campus_area_ha,gfa_sqm,capital_cost_aud,construction_jobs,operational_jobs,operational_from,target_completion,nearest_cable_ls_km,nearest_cable_ls_name,proximity_note,hcf_certified,notes,fact_status,source_id,confidence,as_of_date
SITE_AIRTRUNK_SYD1,AirTrunk SYD1 (Huntingwood),ENT_AIRTRUNK,,,,Huntingwood,Blacktown City Council,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,HCF Certified Strategic Facility in the 20-100 MW band. Campus includes co-located battery storage referenced by the NSW Government as a grid-flexibility exemplar.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_AIRTRUNK_SYD2,AirTrunk SYD2 (Lane Cove),ENT_AIRTRUNK,,,,Lane Cove,Lane Cove Council,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,"HCF Certified Strategic Facility, 20-100 MW band. Located in the lower north shore industrial park that ABC and the BBC report as having four further data centres in the pipeline; residents report noise at 350 m. Site-code mapping to AirTrunk's own nomenclature unverified - see research_gaps.",REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_AIRTRUNK_SYD3,AirTrunk SYD3 (Sydney West),ENT_AIRTRUNK,,,,Eastern Creek / Huntingwood corridor,Blacktown City Council,NSW,NEM,,,,operational,,,,,,,,,,,,,,,unknown,Referenced in secondary market data as SYD3 Sydney West. Capacity and status to be confirmed from the NSW Planning Portal - see research_gaps RG-002.,GAP,SRC_CERTSTRAT,low,2026-09-18
SITE_MAMRE_ROAD,Mamre Road Data Centre Campus,ENT_KNBDC,ENT_IFM,,"KNBDC SYD4 Pty Ltd (per NSW IDA Round 1); the ABR-resolved structure is The Trustee for KNBDC SYD4 Hold Trust / Land Trust / Intermediate Hold Trust, trustee NBDC Pty Ltd, above KNBDC AU Development Pty Ltd and KNBDC AU Financing Holdco Pty Ltd",Kemps Creek,Penrith,NSW,NEM,,,,lodged,1000.0,,1200.0,,52.0,245000.0,5000000000.0,500,500,,,,,,unknown,"NSW Planning Portal: 'Construction and operation of a data centre campus with a power capacity of 1 GW including six four-storey data centre buildings'. Proposal documents put power capacity at 1.2 GW. Six buildings, 728 cooling units, 846 diesel back-up generators, >18,000 kL diesel storage, lithium-ion batteries, ~22.4 million litres of water per year. Land held by IFM Investors (listed by ISPT as 'Summit'); AirTrunk reported as prospective buyer conditional on approval of the 1 GW application. The proponent SPV stack was incorporated between 3 April and 19 June 2025 in North Sydney and its sponsor is not publicly identified anywhere - a web search for 'KNBDC' returns zero results. EIS by Willowtree Planning, the same consultancy that appears on the Glendenning Road pre-application documents. First Australian project above 1 GW.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
SITE_NEXTDC_S7,"NEXTDC S7 Data Centre, Eastern Creek",ENT_NEXTDC,,ENT_OPENAI,,Eastern Creek,Blacktown,NSW,NEM,,,,lodged,612.0,,612.0,,,,7600000000.0,,,,,,,,unknown,"Blacktown. Portal stage is Prepare EIS, which is EARLIER than 'lodged' implies: the SSD application is registered but the environmental impact statement was still being prepared as at 18 September 2026. Description references 612 MW.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
SITE_NEXTDC_S1,NEXTDC S1 Sydney,ENT_NEXTDC,,,,Sydney,,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,HCF Certified Strategic.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_NEXTDC_S2,NEXTDC S2 Sydney,ENT_NEXTDC,,,,Sydney,,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_NEXTDC_S3,NEXTDC S3 Sydney,ENT_NEXTDC,,,,Sydney,,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,20-100 MW enclave.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_CDC_EC,CDC Eastern Creek campus (EC1-EC4),ENT_CDC,,,,Eastern Creek,Blacktown City Council,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,Four HCF Certified Strategic sites.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_CDC_MARSDEN,Marsden Park Data Centre,ENT_CDC,,,,Marsden Park,Blacktown,NSW,NEM,,,,approved,720.0,,,,,,,,,,,,,,unknown,"Blacktown. APPROVED, and the portal description references both 504 MW and 720 MW - the campus appears to have been consented at a larger capacity than the 504 MW widely reported. Reconcile against the determination before quoting either figure.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
