id,actor_id,person,channel,recipient,event_date,instrument,position,outcome,aligned_with_outcome,disclosed,notes,fact_status,source_id,confidence,as_of_date
1,ENT_AIRTRUNK,"Robin Khuda, Founder and CEO",peak_body_board,Business Council of Australia,2025-06-27,"BCA Board appointment, announced jointly with Telstra CEO Vicki Brady","Access to the governance of Australia's principal general business peak body, whose board carries the CEOs of Telstra, Commonwealth Bank, Wesfarmers, Google Australia and New Zealand and BHP Australia, and the chairman of Gilbert + Tobin. BCA President Geoff Culbert framed the appointment as strengthening the board's 'expertise in innovation and the digital economy'.","Sitting. AirTrunk joined the BCA in or around May 2025, six months before the NSW Data Centre Consultation Paper and eleven months before the NSW Data Centre Guidelines.",,1,"The significance is structural rather than evidentiary. A board seat is not a lobbying record and no improper conduct is alleged or implied. What it establishes is that the operator most closely associated with Australia's largest data centre proposal holds governance-level access to the body that sets the cross-sector business policy agenda, at the same time as that body was submitting to a parliamentary inquiry into the sector and as its own members' projects were being assessed. The board is composed of serving chief executives of member companies, so this is the normal mechanism - which is precisely why it belongs in a database of influence rather than being left implicit.",VERIFIED,SRC_AIRTRUNK_BCA,high,2026-09-18
2,ENT_AIRTRUNK,,peak_body_membership,Business Council of Australia,2025-05,BCA membership (member logo published with a 2025/05 asset path),Membership of the peak body representing more than 120 chief executives of Australia's largest employers.,"Current. Per AFR reporting of 27 November 2025 the BCA counts AirTrunk but not NEXTDC among its members, so the ASX-listed Australian-listed operator is outside the peak body while the Blackstone-controlled one is inside it and on its board.",,1,"Membership date inferred from the BCA website's asset path for the AirTrunk logo, which is a weak date signal and is graded accordingly.",REPORTED,SRC_BCA_ABOUT,medium,2026-09-18
3,ENT_BCA,,peak_body_submission,"NSW Legislative Council Public Accountability and Works Committee, Inquiry into Data Centres",2026-04-02,Submission No 116,"Four recommendations: (1) 'Recognise data centres as a strategic economic opportunity for NSW and recalibrate policy settings, regulatory approaches and community narratives to enable and attract investment at scale'; (2) align the NSW approach with the Commonwealth Expectations to create a national and consistent approach so Australia can compete for investment; (3) give the new Investment Delivery Authority the ability to rapidly assess and recommend public infrastructure investments that support major private sector projects; (4) monitor planning reforms to ensure they deliver better performance, 'focusing on efficiency, consistency, and certainty in the planning system'. The submission states that 'the BCA has consistently called for a reduction in regulatory burden, and we do not support introducing additional regulation where it is unnecessary', and cites the BCA's own 2025 Regulation Rumble ranking NSW last for planning system performance as at June 2025.","The NSW Data Centre Guidelines of 17 August 2026 adopted the alignment-with-Commonwealth position (the Guidelines state they are 'consistent with the Australian Government's Expectations ... published in March 2026') and the IDA was already operating, with Round 1 endorsed on 27 March 2026 - five days before this submission was received. Recommendations 3 and 4 concern the IDA and planning performance, both of which remained live policy through 2026. No recommendation sought an environmental, emissions, water, noise, community-benefit, local-content or domestic-compute measure.",1,1,"ANALYSIS, clearly labelled. The submission's silences are as informative as its recommendations and were verified by keyword search after repairing the ff and ffi ligatures the text extractor drops. Against an inquiry whose terms of reference expressly cover (c)(ii) 'the role of on-site backup generation, including diesel and gas, and associated emissions and health impacts', (d) water usage and cooling, (e) local environmental and community impacts 'including noise, air quality and heat', and (g)(iii) 'the extent of public subsidies, concessions or state directed facilitation provided to the sector', the words that appear NOWHERE in 59,431 characters are: diesel, generator, back-up, NOx, nitrogen, noise, air quality, subsidy, payroll and land tax. It does address the subsidy question, in the negative and in one sentence: 'datacentre operators in Australia pay full taxes with no concessions'. It does address water, at length, with quantified figures. Recommendation 1 asks government to recalibrate 'community narratives', which is a request to change public discourse rather than to change an environmental standard - and the submission is explicit that the sector's problem is partly that 'the public debate can sometimes reduce them to symbols of trivial internet content'. The framing devices are two case studies: 'Amy's homework', a Year 10 student in Parramatta uploading a maths assignment, and 'Margaret's health monitor', a 78-year-old living alone with a heart condition whose wrist monitor alerts her doctor. Both are effective and both are true of some data centre traffic; neither bears on the marginal emissions, water or amenity impact of a new hyperscale campus, which is what the inquiry was asked about.",VERIFIED,SRC_BCA_SUB116,high,2026-09-18
4,ENT_BCA,"Wendy Black, Executive Director Policy",parliamentary_evidence,NSW Legislative Council Public Accountability and Works Committee,2026-05-29,"Public hearing, Macquarie Room, Parliament House","Oral evidence in the same session as Endeavour Energy, Ausgrid, the Clean Energy Council, the Business Council's own peer bodies, the UNSW AI Institute, the Australian Information Industry Association, Sydmec and Sweltering Cities.",Recorded in the corrected transcript. In the same hearing a witness stated that cross-subsidisation of industrial use by other customers 'is inconsistent with the framework that we have adopted'.,,1,,VERIFIED,SRC_INQ_T_0529,high,2026-09-18
5,ENT_DATA_CENTRES_AU,"Belinda Dennett, Chief Executive Officer",parliamentary_evidence,NSW Legislative Council Public Accountability and Works Committee,2026-05-01,"Public hearing, Jubilee Room, Parliament House - first witness","Under parliamentary privilege: data centre operators pay their way; the national electricity rules require all large load users including data centres to pay 100 per cent of connection costs and augmentations; operators will pay $10.3 billion in energy infrastructure to 2030 with $1.1 billion of that excess capacity available for public use; operators 'do not receive subsidies or tax incentives'; ABS water accounts show data centre water use is 0.04 per cent of Australia's and less than 1 per cent of Sydney's; and the widely repeated 25 per cent of Sydney's water by 2035 'is not based in fact' and 'was dismissed by IPART as being unverifiable, and it should be dismissed'. Also that data centres generate 'the highest gross value added per unit of energy of any industrial sector'.","Sydney Water's Managing Director Darren Cleary was asked on 22 May 2026 whether he stood by the 25 per cent forecast and answered 'We do, and we acknowledge the uncertainty'. The IPART characterisation remains unverified - research gap RG-042.",,1,"DCA launched on 28 November 2025 and grew out of five operators; its members represent 86 per cent of national operational capacity. Note that DCA and the BCA - separately constituted, separately funded, with overlapping but not identical membership - made near-identical quantified claims to the same inquiry on the two questions most adverse to the sector: no subsidies, and low water use. Coordinated or not, the effect is that the committee heard the same two numbers from two independent-looking sources.",VERIFIED,SRC_INQ_T_0501,high,2026-09-18
6,ENT_BCA,,commissioned_research,Public policy debate; cited in Submission No 116,2025-11-21,"Oxford Economics, 'Surging Data Centre Connection Requests Drive Phantom Demand', 21 November 2025","That of roughly 44 GW of connection requests linked to data centre proposals received by AEMO in 2025, only about 6 GW of project capacity is expected to proceed and only 2.8 GW of actual electricity draw at maturity - '15 times lower than what is sometimes reported'.","Cited by the BCA to the NSW inquiry and, per the Chair's questioning on 22 May 2026, by Data Centres Australia as well. The NSW Data Centre Guidelines separately cite Oxford Economics work prepared for AEMO estimating that 6 in every 7 MW of connection requests are phantom. The two are consistent: 6 of 7 not proceeding is a 14 per cent conversion rate.",,1,"IMPORTANT AND UNDER-USED. This is industry-funded research arguing that the pipeline OVERSTATES real demand by an order of magnitude. It cuts against the sector's own interest in a large headline pipeline and should be credited. It also means the Observatory must not treat either 44 GW or 20 GW as demand: on the industry's own commissioned figures the realised draw is about 2.8 GW. The same logic does not, however, answer the local-impact question, because a facility that is built still sits next to the houses it sits next to regardless of how many proposed facilities were never built.",REPORTED,SRC_BCA_SUB116,high,2026-09-18
7,ENT_BCA,,commissioned_research,Public policy debate,2025-06,BCA Regulation Rumble 2025,"That NSW ranked last of the Australian jurisdictions for planning system performance as at June 2025, performing well on transparency but lagging on efficiency, consistency and certainty for proponents.","Cited in Submission No 116 to support Recommendation 4. The ranking is the BCA's own publication, so it is a self-assessed benchmark offered to a parliamentary inquiry as evidence about the state's performance.",,1,"Recorded because a peak body's own index, used as evidence in a submission about whether that state should regulate a sector less, is a conflict of method worth naming - not a conflict of interest in any legal sense, but the arbiter and the interested party are the same organisation.",REPORTED,SRC_BCA_SUB116,medium,2026-09-18
8,ENT_BCA,,media_campaign,Commonwealth Government / public debate,2025-06-02,"BCA Australian AI report, media release 'Business Council unveils Australian AI report to secure leadership by 2028'",Recommendations include 'Simplify data centre approvals to speed up infrastructure build'.,Published nine months before the NSW Data Centre Consultation Paper (March 2026) and eleven months before the Commonwealth Expectations (23 March 2026).,,1,,REPORTED,SRC_BCA_AIREPORT,medium,2026-09-18
9,ENT_BCA,"Bran Black, Chief Executive",media_campaign,Commonwealth Government / public debate,2026-07-15,AFR coverage of the Commonwealth grid mandate for data centres,'Sounded a note of caution given the global competition to attract investment' in response to the Albanese Government's move to require data centres to generate more power than they use.,"The Commonwealth proceeded: on 5 August 2026 the AEMC published advice to the ECMC on mandatory demand offsetting, the Energy Minister lodged rule change requests ERC0448 and ERC0456 on network cost recovery, and NSW introduced the Electricity Infrastructure Investment Amendment Bill 2026.",,1,,REPORTED,SRC_AFR_BCA,medium,2026-09-18
10,ENT_AIRTRUNK,,political_donation,Unknown,,Political donation disclosure filed on SSD-10330 Roberts Road Data Centre,"A political donation disclosure is filed on the Roberts Road Data Centre project record, whose Schedule 1 applicant is Canberra Data Centres Pty Ltd - a CDC facility, not an AirTrunk one. It is recorded here because it is the only political donation document located anywhere in the 63-project NSW data centre register.","Unread. The document is publicly listed but is a scanned image with no extractable text, so the donor, recipient and amount are unknown.",,1,"Directly relevant to the NSW inquiry's terms of reference (h)(iv), 'the impact of lobbying and donations on government policy setting surrounding data centre developments'. A donation disclosure is a statutory document; that it is published only as an unsearchable image is itself a transparency finding. Research gap RG-069. AirTrunk is recorded as the actor here only because this pack is the AirTrunk deep dive; the document relates to a CDC site and must not be attributed to AirTrunk.",GAP,SRC_SSD10330_CONSENT,low,2026-09-18
