id,site_id,parent_case,mod_case,title,lga,stage,decision,determination_date,change_type,what_changed,materiality,notes,fact_status,source_id,confidence,as_of_date
1,SITE_ROBERTS_RD,SSD-10330,SSD-10330-Mod-2,Roberts Road DC MOD 2 - Additional back-up generators and diesel storage,Blacktown,Determination,Approved,2026-03-06,generator_increase,"Additional back-up generators and additional diesel storage at Roberts Road, Blacktown, approved 6 March 2026. This is the clearest instance in the NSW record of the diesel and generator envelope being enlarged AFTER the original consent was assessed and granted, which means the air quality and noise assessment underpinning the consent no longer describes the facility. The original Roberts Road consent (SSD-10330) has no capacity figure in its portal description.",5,Portal stage at harvest: Determination. Development type Warehouse or distribution centres. 101 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
2,SITE_EC_EXPANSION,SSD-21342738,SSD-21342738-Mod-2,Eastern Creek Data Centre - Mod 2 - Power consumption increase,Blacktown,Determination,Approved,2026-08-05,capacity_increase,"Power consumption increase at the Eastern Creek Data Centre Expansion, Blacktown, approved 5 August 2026 - twelve days before the NSW Data Centre Guidelines took effect on 17 August 2026. An approved increase in electricity demand, so the facility's grid connection and its share of any network augmentation were re-set by modification rather than by a fresh application.",5,Portal stage at harvest: Determination. Development type Warehouse or distribution centres. 82 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
3,SITE_LANE_COVE_WEST,SSD-9741,SSD-9741-Mod-1,Lane Cove West Data Centre MOD 1 - Fuel Storage,Lane Cove,Determination,Approved,2020-04-14,fuel_storage_increase,"Fuel storage at Lane Cove West Data Centre, approved 14 April 2020. Lane Cove is the corridor where residents report an operating facility 350 m from homes, where the council's Deputy Mayor gave evidence to the Legislative Council inquiry on 8 May 2026, where a community planning group gave evidence on 22 May 2026, and where the NSW Government IDA-endorsed a further project at 16-20 Mars Road on 27 March 2026.",5,Portal stage at harvest: Determination. Development type Warehouse or distribution centres. 78 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
4,SITE_ROBERTS_RD,SSD-10330,SSD-10330-Mod-1,Roberts Road Data Centre MOD 1 - Height Increase,Blacktown,Determination,Approved,2024-04-17,height_increase,"Building height increase at Roberts Road, Blacktown, approved 17 April 2024.",3,Portal stage at harvest: Determination. Development type Warehouse or distribution centres. 42 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
5,SITE_TALAVERA,SSD-24299707,SSD-24299707-Mod-1,Talavera Road Data Centre MOD 1 - Expansion,City of Ryde,Determination,Approved,2024-12-19,capacity_increase,"Expansion of the Talavera Road Data Centre Campus, City of Ryde, approved 19 December 2024. Talavera Road is the Macquarie Park data centre corridor.",4,Portal stage at harvest: Determination. Development type Data Storage. 60 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
6,SITE_51_HUNTINGWOOD,SSD-41589232,SSD-41589232-Mod-2,51 Huntingwood Drive Data Centre MOD 2 - Design Updates,Blacktown,Determination,Approved,2026-08-28,design,"Design updates at 51 Huntingwood Drive, Blacktown, approved 28 August 2026 - eleven days after the NSW Data Centre Guidelines took effect.",2,Portal stage at harvest: Determination. Development type Data Storage. 49 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
7,SITE_LANCELEY,SSD-66777221,SSD-66777221-Mod-3,Mod 3 - Lanceley Place Data Centre - Fire access and Switchroom,Willoughby City,Determination,Approved,2026-08-11,fire_or_safety,"Fire access and switchroom changes at Lanceley Place, Artarmon (Willoughby), approved 11 August 2026 - six days before the Guidelines took effect. Fire access and switchroom changes are the physical consequences of the diesel and lithium-ion battery risk the Guidelines address at Principle 1 Ref 6.",3,Portal stage at harvest: Determination. Development type Data Storage. 28 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
8,SITE_LANCELEY,SSD-66777221,SSD-66777221-Mod-2,Modification 2 - Lanceley Place Data Centre,Willoughby City,Determination,Approved,2026-04-14,other,"General modification at Lanceley Place, Artarmon (Willoughby), approved 14 April 2026.",2,Portal stage at harvest: Determination. Development type Data Storage. 58 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
9,SITE_MSFT_KEMPS,SSD-10101987,SSD-10101987-Mod-1,Kemps Creek Data Centre MOD 1 - Data Hall Fit-Out,Penrith,Determination,Approved,2024-11-18,fit_out,"Data hall fit-out at Microsoft's Kemps Creek Data Centre (SSD-10101987), Penrith, approved 18 November 2024. Fit-out is where IT load, rack density and cooling configuration are actually determined, so a fit-out modification can change a facility's operating character without changing its consented power consumption ceiling.",3,Portal stage at harvest: Determination. Development type Warehouse or distribution centres. 25 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
10,SITE_DAVIS_RD_CUNDALL,SSD-59416728,SSD-59416728-Mod-1,Davis Rd Data Centre MOD 1 - Tree Removal Correction,Fairfield City,Determination,Approved,2025-08-15,landscaping,"Tree removal correction at Davis Road Data Centre, Fairfield City, approved 15 August 2025.",1,Portal stage at harvest: Determination. Development type Data Storage. 35 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
11,SITE_LANE_COVE_WEST,SSD-9741,SSD-9741-Mod-2,Lane Cove West Data Centre MOD 2 - Layout Changes,Lane Cove,Determination,Approved,2020-12-16,layout,"Layout changes at Lane Cove West, approved 16 December 2020.",2,Portal stage at harvest: Determination. Development type Warehouse or distribution centres. 71 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
12,SITE_LANE_COVE_WEST,SSD-9741,SSD-9741-Mod-3,Lane Cove West Data Centre MOD 3 - Design Changes,Lane Cove,Determination,Approved,2024-06-13,design,"Design changes at Lane Cove West, approved 13 June 2024.",2,Portal stage at harvest: Determination. Development type Warehouse or distribution centres. 115 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
13,SITE_LANE_COVE_WEST,SSD-9741,SSD-9741-Mod-4,Lane Cove West Data Centre MOD 4 - APDC Inclusion,Lane Cove,Determination,Approved,2025-10-09,other,"'APDC inclusion' at Lane Cove West, approved 9 October 2025. APDC is not expanded on the portal record; resolve what is being included before relying on this row (RG-045).",3,Portal stage at harvest: Determination. Development type Warehouse or distribution centres. 34 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
14,SITE_ROBERTS_RD,SSD-10330,SSD-10330-Mod-4,Roberts Road DC MOD 4 - Changes to Operational Infrastructure,Blacktown,Prepare Mod Report,,,other,"Changes to operational infrastructure at Roberts Road, Blacktown. NOT YET DETERMINED - portal stage is 'Prepare Mod Report' as at 18 September 2026. A second round of operational-infrastructure changes at the same site that already received additional generators and diesel storage in March 2026.",4,Portal stage at harvest: Prepare Mod Report. Development type Warehouse or distribution centres. 36 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
15,SITE_51_HUNTINGWOOD,SSD-41589232,SSD-41589232-Mod-1,Modification 1 51 Huntingwood Drive Data Centre - Reduced Scale,Blacktown,Withdrawn,,,scale_reduction,"Reduced scale at 51 Huntingwood Drive, Blacktown. WITHDRAWN. The subsequent Mod 2 (design updates) was approved on 28 August 2026, so a scale reduction was proposed, abandoned and replaced.",2,Portal stage at harvest: Withdrawn. Development type Data Storage. 149 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
16,,MP08_0259,MP08_0259-Mod-7,DEXUS Estate - Mod 7 - Data Centre Site Layout,Blacktown; Cumberland; Fairfield,Determination,Approved,2022-09-30,layout,"Data centre site layout within the DEXUS Estate, spanning Blacktown, Cumberland and Fairfield LGAs, approved 30 September 2022. A Part 3A legacy case number (MP08_0259), so this sits under the repealed major-project regime rather than the current SSD framework.",2,Portal stage at harvest: Determination. Development type Warehouse or distribution centres. 20 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
17,,SSD-10479,SSD-10479-Mod-8,200 Aldington MOD 8 Amendments to Road Upgrade Works and Timing,Penrith,Recommendation,,,road_or_access,"Amendments to road upgrade works and timing at 200 Aldington, Penrith. Portal stage 'Recommendation' as at 18 September 2026 - not yet determined.",2,Portal stage at harvest: Recommendation. Development type Warehouse or distribution centres. 48 documents attached to the modification record.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
