parent_case,site,lga,mod_case,title,change_type,decision,determination_date,materiality,what_changed,fact_status
SSD-41589232,51 Huntingwood Drive Data Centre,Blacktown,SSD-41589232-Mod-2,51 Huntingwood Drive Data Centre MOD 2 - Design Updates,design,Approved,2026-08-28,2,"Design updates at 51 Huntingwood Drive, Blacktown, approved 28 August 2026 - eleven days after the NSW Data Centre Guidelines took effect.",VERIFIED
SSD-66777221,"Lanceley Place Data Centre, Artarmon",Willoughby City,SSD-66777221-Mod-3,Mod 3 - Lanceley Place Data Centre - Fire access and Switchroom,fire_or_safety,Approved,2026-08-11,3,"Fire access and switchroom changes at Lanceley Place, Artarmon (Willoughby), approved 11 August 2026 - six days before the Guidelines took effect. Fire access and switchroom changes are the physical consequences of the diesel and lithium-ion battery risk the Guidelines address at Principle 1 Ref 6.",VERIFIED
SSD-21342738,Eastern Creek Data Centre Expansion Project,Blacktown,SSD-21342738-Mod-2,Eastern Creek Data Centre - Mod 2 - Power consumption increase,capacity_increase,Approved,2026-08-05,5,"Power consumption increase at the Eastern Creek Data Centre Expansion, Blacktown, approved 5 August 2026 - twelve days before the NSW Data Centre Guidelines took effect on 17 August 2026. An approved increase in electricity demand, so the facility's grid connection and its share of any network augmentation were re-set by modification rather than by a fresh application.",VERIFIED
SSD-66777221,"Lanceley Place Data Centre, Artarmon",Willoughby City,SSD-66777221-Mod-2,Modification 2 - Lanceley Place Data Centre,other,Approved,2026-04-14,2,"General modification at Lanceley Place, Artarmon (Willoughby), approved 14 April 2026.",VERIFIED
SSD-10330,Roberts Road Data Centre,Blacktown,SSD-10330-Mod-2,Roberts Road DC MOD 2 - Additional back-up generators and diesel storage,generator_increase,Approved,2026-03-06,5,"Additional back-up generators and additional diesel storage at Roberts Road, Blacktown, approved 6 March 2026. This is the clearest instance in the NSW record of the diesel and generator envelope being enlarged AFTER the original consent was assessed and granted, which means the air quality and noise assessment underpinning the consent no longer describes the facility. The original Roberts Road consent (SSD-10330) has no capacity figure in its portal description.",VERIFIED
SSD-9741,Lane Cove West Data Centre,Lane Cove,SSD-9741-Mod-4,Lane Cove West Data Centre MOD 4 - APDC Inclusion,other,Approved,2025-10-09,3,"'APDC inclusion' at Lane Cove West, approved 9 October 2025. APDC is not expanded on the portal record; resolve what is being included before relying on this row (RG-045).",VERIFIED
SSD-59416728,Davis Road Data Centre (Cundall),Fairfield City,SSD-59416728-Mod-1,Davis Rd Data Centre MOD 1 - Tree Removal Correction,landscaping,Approved,2025-08-15,1,"Tree removal correction at Davis Road Data Centre, Fairfield City, approved 15 August 2025.",VERIFIED
SSD-24299707,Talavera Road Data Centre Campus Expansion,City of Ryde,SSD-24299707-Mod-1,Talavera Road Data Centre MOD 1 - Expansion,capacity_increase,Approved,2024-12-19,4,"Expansion of the Talavera Road Data Centre Campus, City of Ryde, approved 19 December 2024. Talavera Road is the Macquarie Park data centre corridor.",VERIFIED
SSD-10101987,Microsoft Kemps Creek Data Centre Campus,Penrith,SSD-10101987-Mod-1,Kemps Creek Data Centre MOD 1 - Data Hall Fit-Out,fit_out,Approved,2024-11-18,3,"Data hall fit-out at Microsoft's Kemps Creek Data Centre (SSD-10101987), Penrith, approved 18 November 2024. Fit-out is where IT load, rack density and cooling configuration are actually determined, so a fit-out modification can change a facility's operating character without changing its consented power consumption ceiling.",VERIFIED
SSD-9741,Lane Cove West Data Centre,Lane Cove,SSD-9741-Mod-3,Lane Cove West Data Centre MOD 3 - Design Changes,design,Approved,2024-06-13,2,"Design changes at Lane Cove West, approved 13 June 2024.",VERIFIED
SSD-10330,Roberts Road Data Centre,Blacktown,SSD-10330-Mod-1,Roberts Road Data Centre MOD 1 - Height Increase,height_increase,Approved,2024-04-17,3,"Building height increase at Roberts Road, Blacktown, approved 17 April 2024.",VERIFIED
MP08_0259,,Blacktown; Cumberland; Fairfield,MP08_0259-Mod-7,DEXUS Estate - Mod 7 - Data Centre Site Layout,layout,Approved,2022-09-30,2,"Data centre site layout within the DEXUS Estate, spanning Blacktown, Cumberland and Fairfield LGAs, approved 30 September 2022. A Part 3A legacy case number (MP08_0259), so this sits under the repealed major-project regime rather than the current SSD framework.",VERIFIED
SSD-9741,Lane Cove West Data Centre,Lane Cove,SSD-9741-Mod-2,Lane Cove West Data Centre MOD 2 - Layout Changes,layout,Approved,2020-12-16,2,"Layout changes at Lane Cove West, approved 16 December 2020.",VERIFIED
SSD-9741,Lane Cove West Data Centre,Lane Cove,SSD-9741-Mod-1,Lane Cove West Data Centre MOD 1 - Fuel Storage,fuel_storage_increase,Approved,2020-04-14,5,"Fuel storage at Lane Cove West Data Centre, approved 14 April 2020. Lane Cove is the corridor where residents report an operating facility 350 m from homes, where the council's Deputy Mayor gave evidence to the Legislative Council inquiry on 8 May 2026, where a community planning group gave evidence on 22 May 2026, and where the NSW Government IDA-endorsed a further project at 16-20 Mars Road on 27 March 2026.",VERIFIED
SSD-10330,Roberts Road Data Centre,Blacktown,SSD-10330-Mod-4,Roberts Road DC MOD 4 - Changes to Operational Infrastructure,other,,,4,"Changes to operational infrastructure at Roberts Road, Blacktown. NOT YET DETERMINED - portal stage is 'Prepare Mod Report' as at 18 September 2026. A second round of operational-infrastructure changes at the same site that already received additional generators and diesel storage in March 2026.",VERIFIED
SSD-41589232,51 Huntingwood Drive Data Centre,Blacktown,SSD-41589232-Mod-1,Modification 1 51 Huntingwood Drive Data Centre - Reduced Scale,scale_reduction,,,2,"Reduced scale at 51 Huntingwood Drive, Blacktown. WITHDRAWN. The subsequent Mod 2 (design updates) was approved on 28 August 2026, so a scale reduction was proposed, abandoned and replaced.",VERIFIED
SSD-10479,,Penrith,SSD-10479-Mod-8,200 Aldington MOD 8 Amendments to Road Upgrade Works and Timing,road_or_access,,,2,"Amendments to road upgrade works and timing at 200 Aldington, Penrith. Portal stage 'Recommendation' as at 18 September 2026 - not yet determined.",VERIFIED
