site_id,site,state,status,operator,anchor_tenant,headline_mw,capital_cost_aud,construction_jobs,operational_jobs,primary_source,publisher,source_url,fact_status,confidence,as_of_date,n_applications,n_community_events,n_regulatory_events,n_instruments
SITE_AIRTRUNK_SYD1,AirTrunk SYD1 (Huntingwood),NSW,operational,AirTrunk,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_AIRTRUNK_SYD2,AirTrunk SYD2 (Lane Cove),NSW,operational,AirTrunk,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_AIRTRUNK_SYD3,AirTrunk SYD3 (Sydney West),NSW,operational,AirTrunk,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,GAP,low,2026-09-18,0,0,0,0
SITE_MAMRE_ROAD,Mamre Road Data Centre Campus,NSW,lodged,KNBDC entity group (KNBDC AU Development / AU Financing Holdco / per-project trusts),,1200.0,5000000000.0,500,500,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,2,5,1,1
SITE_NEXTDC_S7,"NEXTDC S7 Data Centre, Eastern Creek",NSW,lodged,NEXTDC,OpenAI,612.0,7600000000.0,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,2,0,0,1
SITE_NEXTDC_S1,NEXTDC S1 Sydney,NSW,operational,NEXTDC,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_NEXTDC_S2,NEXTDC S2 Sydney,NSW,operational,NEXTDC,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_NEXTDC_S3,NEXTDC S3 Sydney,NSW,operational,NEXTDC,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_CDC_EC,CDC Eastern Creek campus (EC1-EC4),NSW,operational,CDC Data Centres,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_CDC_MARSDEN,Marsden Park Data Centre,NSW,approved,CDC Data Centres,,720.0,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,2,1,0,0
SITE_CDC_KEMPS,CDC Kemps Creek (new filing),NSW,lodged,CDC Data Centres,,,,,,"Australia's CDC files for data center in Kemps Creek, Sydney",Data Center Dynamics,https://www.datacenterdynamics.com/en/news/australias-cdc-files-for-data-center-in-kemps-creek-sydney/,REPORTED,medium,2026-08-05,0,0,0,0
SITE_CLOUDCARRIER_SH,Cloud Carrier Southern Highlands Data Campus,NSW,lodged,Cloud Carrier,,700.0,,,,Submission No 120 - Inquiry into Data Centres (Greenpeace Australia Pacific),NSW Legislative Council / Greenpeace Australia Pacific,https://www.parliament.nsw.gov.au/fileapi/parlfiles/getartifact?serverRelativeUrl=/lcdocs/submissions/95082/0120%20Greenpeace%20Australia.pdf,REPORTED,high,2026-03-27,1,1,0,1
SITE_DR_ERSKINE,"Digital Realty Erskine Park (SYD10, SYD11, SYD14)",NSW,operational,Digital Realty,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_DCI_SYD01,DCI SYD-01 Eastern Creek,NSW,operational,DCI Data Centers,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_MACQ_IC3,Macquarie IC3 'Super West' (Macquarie Park),NSW,operational,Macquarie Technology Group,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_MACQ_IC12,Macquarie IC1 / IC2 Strategic Enclaves (Sydney),NSW,operational,Macquarie Technology Group,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_EQUINIX_SYD,Equinix Sydney (SY3-SY7),NSW,operational,Equinix,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_TELSTRA_STLEON,Telstra St Leonards Strategic Enclave,NSW,operational,Telstra,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_STOCKLAND_MP,Stockland Macquarie Park Stage 1 data centre,NSW,under_construction,,,,264000000.0,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,CLAIMED,low,2026-09-18,0,0,0,0
SITE_NEXTDC_M4,NEXTDC M4 Melbourne (Fishermans Bend),VIC,approved,NEXTDC,,162.0,2000000000.0,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,high,2026-01-31,1,0,0,0
SITE_CDC_LAVERTON,CDC Laverton campus (Melbourne south-west),VIC,under_construction,CDC Data Centres,,150.0,2700000000.0,,,Sovereign CDC Progress Secured as Shareholders Double Down on Growth,CDC Data Centres,https://cdc.com/resources/news/sovereign-cdc-progress-secured-as-shareholders-double-down-on-growth/,REPORTED,high,2025-02-18,0,0,0,0
SITE_CDC_BROOKLYN,CDC Brooklyn (Melbourne),VIC,operational,CDC Data Centres,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_AIRTRUNK_MEL1,AirTrunk MEL1 (Derrimut),VIC,operational,AirTrunk,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_DR_MEL11,Digital Realty MEL11 (Deer Park),VIC,operational,Digital Realty,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_NEXTDC_M123,NEXTDC M1 / M2 / M3 Melbourne,VIC,operational,NEXTDC,,,,,,Data centre planning approvals in Victoria: DFP pathways and approval risks,"Gadens (Andrea Towson, Gerard Timbs, Angus Halligan, Laura Kilpatrick) via Lexology",https://www.lexology.com/library/detail.aspx?g=1da6e183-74b4-46a5-adb2-687397182dab,REPORTED,high,2026-09-18,0,2,0,1
SITE_EQUINIX_MEL,"Equinix Melbourne (ME1, ME2, ME4)",VIC,operational,Equinix,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
