id,name,jurisdiction,instrument_type,status,made,commenced,binding,summary,relevance,url,fact_status,source_id,confidence,as_of_date
LAW_EXPECTATIONS26,Expectations of data centres and AI infrastructure developers,Commonwealth,policy_expectation,in_force,2026-03-23,,0,"Five national expectations covering national interest and cyber security, energy transition, water, skills and workforce, and research, innovation and local capability. Applies to new or expanded hyperscale and large-scale AI compute; excludes small edge and on-site enterprise facilities.",The top of the Australian policy stack. Creates no legal obligations but drives priority treatment in Commonwealth processes and is being implemented with states via the Energy and Climate Change Ministerial Council.,https://www.industry.gov.au/publications/expectations-data-centres-and-ai-infrastructure-developers,VERIFIED,SRC_DISR,high,2026-09-18
LAW_NSWGUIDE26,NSW Data Centre Guidelines,NSW,guideline,in_force,2026-08-17,,0,"Six principles and 17 performance measures, plus a package of five service commitments in Section 3: a concierge function within DPHI working with the planning assessment team that understands data centre technologies and proactively engages proponents to troubleshoot the assessment process; pre-assessment proponent support that commences BEFORE a site has been selected and before the request for SEARs, advising on site selection and what to expect; SEARs provided within two months and proportional to the assessment rather than a generalised list; development application assessment in no longer than 75 days in state government hands, calculated in accordance with DPHI key performance indicators; and dedicated post-consent staff specifically for data centres within the established dedicated assessment team. THE COMPLIANCE MECHANISM IS THE LOAD-BEARING DETAIL: 'Applicants submitting data centre applications will need to demonstrate whether they comply with the Guidelines in their assessments. Conditions will then require applicants to meet obligations, mitigation measures and commitments outlined in their Environmental Impact Statement. Compliance will be monitored in line with existing DPHI compliance practices and programs.' A footnote adds that further conditions require applicants to monitor compliance against approvals as part of annual reviews, Independent Audits and other periodic reporting. Principle 1 states that 'typically, data centres that use less water use more energy and vice versa', and defines recycled water to include on-site water treatment 'such as from captured stormwater'.","The Guidelines do not impose fixed numeric ceilings. They require the proponent to demonstrate compliance and then CONVERT THE PROPONENT'S OWN EIS COMMITMENTS INTO CONSENT CONDITIONS. That is why Glendenning Road carries an all-times additional firmed renewable matching requirement and a 10 t/yr NOx cap while three earlier consents carry neither, and why no consent in the sample carries a dPUE ceiling: a ceiling can only appear if the proponent offered one. It also settles RG-046 - the Guidelines are addressed to applicants submitting applications with an EIS, so a s.4.55 modification, which varies an existing consent and has no EIS, is outside their reach by construction. Post-consent activity is touched only by annual reviews, Independent Audits and periodic reporting, which monitor against the ORIGINAL commitments rather than re-testing against current standards. The framework therefore has no ratchet.",https://www.infrastructure.nsw.gov.au/media/4jlictae/id0073_nsw-data-centre_guidelines.pdf,VERIFIED,SRC_NSWGUIDE_S3,high,2026-09-18
LAW_EIEIA2026,Electricity Infrastructure Investment Amendment Bill 2026 (NSW),NSW,bill,announced,2026-08-05,,0,Would give the NSW minister power to control grid access in NSW and make data centres pay for network infrastructure; introduces REZ-style large load infrastructure access schemes.,The legislative vehicle converting the 'user pays' principle into enforceable NSW law. Track passage and the regulations it enables.,https://legislation.nsw.gov.au/view/pdf/bill/affe6b31-bef0-49e6-98e1-f9eac558401a,REPORTED,SRC_MALLESONS,medium,2026-09-18
LAW_EPA_CLEAN_AIR,Protection of the Environment Operations (Clean Air) Regulation 2022 (NSW),NSW,regulation,in_force,,,1,"Group 6 limits for stationary reciprocating internal combustion engines (diesel back-up generators): NOx 450 mg/m3, particulates 50 mg/m3, VOCs 1,140 mg/m3, CO 5,880 mg/m3. Outside metropolitan cities and regional towns, away from sensitive receivers, US EPA Tier 2 limits may be met instead with an air quality impact assessment.","THE KEY LOOPHOLE. NSW Government guidance records that current regulation allows data centres to run generators up to 200 hours a year without being subject to any point-source NOx emission limits, and that planning consents may limit only the number of generators running concurrently outside emergencies. The largest Sydney data centres now have generator capacity comparable to NSW's larger gas power plants.",,VERIFIED,SRC_NSWGUIDE26,high,2026-09-18
LAW_SOCI,Security of Critical Infrastructure Act 2018 (Cth) as amended,Commonwealth,act,in_force,,,1,"The data storage or processing sector is a critical infrastructure sector. The Security of Critical Infrastructure Amendment (2025 Measures No. 1) commenced 4 April 2025 and clarifies obligations for data storage systems storing or processing business critical data, including deeming certain government-owned or operated data storage systems critical infrastructure assets.","Determines which facilities carry positive security obligations, register on the Critical Infrastructure Register, and must maintain a risk management program.",https://www.cisc.gov.au/legislation-regulation-and-compliance/cyber-security-legislative-reforms,VERIFIED,SRC_CISC,high,2026-09-18
LAW_CIRMP26,Critical Infrastructure Risk Management Program Rules (Enhanced Rules 2026),Commonwealth,rule,consultation,2025-12-16,,1,"CISC began consulting on 16 December 2025 on a suite of enhanced rules requiring critical infrastructure providers to identify and minimise, mitigate or eliminate risks across their assets, including cyber and physical risk.",Will set the compliance baseline for data storage and processing assets. Track the final rules and commencement dates.,,REPORTED,SRC_CISC,medium,2026-09-18
LAW_NER_IBL,"National Electricity Rule change - access standards for large inverter-based loads (AEMC draft determination, 12 March 2026)",NEM,determination,draft,2026-03-12,,0,"Creates a new standard for large inverter-based loads, requiring data centres to ride through grid faults rather than disconnecting. Not retrospective. Follows AEMO's April 2024 rule change request on improving NEM access standards.","Directly answers the 'grid stabiliser vs base load extractor' question: AEMO cites the July 2024 Virginia event in which ~1,500 MW of data centre load disconnected after a single network fault. AEMO estimates 12 months to implement the REGO obligation and 24-36 months for connections and registration reform.",https://www.aemc.gov.au/news-centre/media-releases/aemc-proposes-new-grid-standards-data-centre-connections,VERIFIED,SRC_AEMC,high,2026-09-18
LAW_ERC0448_56,Ministerial rule change requests ERC0448 and ERC0456 (network cost recovery for data centre demand),NEM,rule,proposed,2026-08-05,,0,Commonwealth Energy Minister lodged two requests to amend the National Electricity Rules so that data centres pay for network costs they cause or accelerate. Standard AEMC process: 6-12 months.,Federal-level implementation of 'no net cost to consumers'. Together with the ECMC agreement of July 2026 (Queensland and the Northern Territory dissenting) it would mandate that data centres offset demand by investing in additional renewable and firming generation.,https://www.aemc.gov.au/sites/default/files/2026-08/ERC0448%20and%20ERC0456%20-%20Rule%20change%20request_0.pdf,REPORTED,SRC_MALLESONS,medium,2026-09-18
LAW_REGO,Renewable Electricity Guarantee of Origin (REGO) scheme obligation for data centres,Commonwealth,policy_expectation,announced,2026-08-05,,0,"A national AI Standard would require data centres to obtain certificates from renewable generators to prove they fully offset their power use with renewable energy that may not otherwise have been built, and to prove they have enough firmed power behind them. AEMC estimates 12 months to implement.",This is the additionality test the Observatory recommends. It replaces bare LGC purchase with a certificate tied to generation that would not otherwise exist - and would finally make corporate '100% renewable' claims auditable.,,REPORTED,SRC_MALLESONS,medium,2026-09-18
LAW_SAFEGUARD,Safeguard Mechanism (Cth),Commonwealth,act,in_force,,,1,"Applies to facilities emitting above 100,000 t CO2-e per year.","STRUCTURAL GAP. Grid-connected data centres will generally fall below the threshold because their scope 1 emissions come only from back-up diesel, whereas on-site gas projects such as Moss Vale are likely to exceed it. The result is that the more polluting configuration attracts the carbon constraint while the grid-connected configuration does not - unless the emissions of the generators supplying them are captured elsewhere.",,REPORTED,SRC_GREENPEACE_SUB,medium,2026-09-18
