id,site_id,jurisdiction,pathway,reference,lodged,decided,outcome,decision_maker,capacity_mw_in_app,conditions_summary,appeal_status,notes,fact_status,source_id,confidence,as_of_date
1,SITE_MAMRE_ROAD,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-92743706,2025-12,,additional_info_requested,"NSW DPHI (consent authority), NSW EPA (advisory)",1000.0,"Department directed assessment of cumulative impacts in the Mamre Road / Kemps Creek precinct; NSW EPA requested further information on air quality, noise, greenhouse gas emissions and waste storage.",,EIS finalised February 2026 by Willowtree Planning. NSW EPA advice dated 10 April 2026 states the EIS 'does not provide the information required to allow us to complete our assessment'.,VERIFIED,SRC_NSWPORTAL,high,2026-08-25
2,SITE_NEXTDC_S7,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,,2026-04,,under_assessment,,612.0,Subject to the post-late-2025 NSW requirements for a fixed PUE limit (cap of 1.3) and disclosed water use; one of six projects assessed against the new state-based rules.,,,REPORTED,SRC_REUTERS_S7,high,2026-07-23
3,SITE_CDC_MARSDEN,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,,,2025-11,approved,,504.0,,,"Reported NSW planning approval November 2025, following an October 2024 ground-breaking.",REPORTED,SRC_CERTSTRAT,medium,2026-09-18
4,SITE_NEXTDC_M4,Victorian Government (planning scheme amendment / ministerial approval),fast_track_scheme,,,2026-01,approved,,162.0,,,Described as Victorian Government development approval; consistent with Victoria's fast-track process reported to reduce approvals to about three months.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
5,SITE_CLOUDCARRIER_SH,NSW DPHI (Request for SEARs) / Wingecarribee Shire Council,state_significant_development,,2025-09,,under_assessment,,700.0,,,Request for SEARs September 2025 for the campus and the 673 MW gas power station. A separate 14 MW gas unit already holds council planning permission.,REPORTED,SRC_GREENPEACE_SUB,medium,2026-09-18
6,SITE_WESTERN_DOWNS,Western Downs Regional Council,local_council,,,,under_assessment,,2160.0,,,Queensland sits outside the scope of the NSW fast-track framework and dissented (with the NT) from the July 2026 ECMC agreement on mandatory renewable offsetting.,REPORTED,SRC_ABC_WD,medium,2026-09-14
7,SITE_MSFT_KEMPS,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-10101987,,2023-07-13,approved_with_conditions,Director (NSW DPHI),,"Condition A11 required a Staging Plan, which Willowtree Planning submitted on behalf of Microsoft Datacentre (Australia) Pty Ltd in October 2023. 27 approved management plans and strategies, 4 reports and 1 notification are published against the consent.",,"Consent scope: two data storage buildings, 61 generators, substation, high voltage switch yard, 30 diesel storage tanks, office, internal access roads and landscaping. One submission on the public record (Penrith City Council, comment). No enforcements recorded.",VERIFIED,SRC_NSWPORTAL_KC,high,2026-09-18
8,SITE_GLENDENNING,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-73761707,,2026-09-16,approved,Director (NSW DPHI),202.4,Determination published 16 September 2026; no post-approval documents published yet. Assessment occurred after the NSW Data Centre Guidelines took effect on 17 August 2026.,,"Two submissions on the record: Endeavour Energy (comment, with standard DA conditions and advice library attached) and Blacktown City Council (OBJECT). The approval proceeded despite the council objection. 40 EIS documents, 31 responses to submissions and 25 agency advices are published against the application, making this one of the best-documented data centre assessments in the state.",VERIFIED,SRC_NSWPORTAL_GLEN,high,2026-09-18
9,SITE_PROJECT_DUKE,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-71368959,,2025-12-22,approved,Director,,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 202 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
10,SITE_51_HUNTINGWOOD,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-41589232,,2023-09-15,approved,Director,,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 140 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
11,SITE_AUGUSTA_ST,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-10469,,,withdrawn,,,,,"Portal stage at harvest: Withdrawn. Development type Telecommunication Facilities, industry classification Water and Telecommunications. 81 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
12,SITE_EC_EXPANSION,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-21342738,,2023-09-01,approved,Director,,,,"Portal stage at harvest: Determination. Development type Warehouse or distribution centres, industry classification Transport & Logistics. 97 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
13,SITE_GLENDENNING,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-73761707,,2026-09-16,approved,Director,202.4,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 177 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
14,SITE_MSFT_HONEMAN,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-58601963,,,under_assessment,,96.0,,,"Portal stage at harvest: Assessment. Development type Data Storage, industry classification Water and Telecommunications. 160 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
15,SITE_CDC_MARSDEN,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-70889211,,2025-11-27,approved,Director,720.0,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 307 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
16,SITE_NEXTDC_S7,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-113934740,,,under_assessment,,612.0,,,"Portal stage at harvest: Prepare EIS. Development type Data Storage, industry classification Water and Telecommunications. 78 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
